"","x"
"1","1013 1995 "
"2","1013 2007 "
"3","1013 2005 "
"4","1013 2006 "
"5","1013 2009 "
"6","1013 2000 "
"7","1013 2010 "
"8","1013 2003 "
"9","1013 2004 "
"10","1013 2008 "
"11","1013 1999 "
"12","1013 2002 "
"13","1013 2001 "
"14","1013 1997 "
"15","1014 2010 "
"16","1014 2007 "
"17","1014 2004 "
"18","1014 1995 "
"19","1014 2000 "
"20","1014 2002 "
"21","1014 2003 "
"22","1014 2009 "
"23","1014 1999 "
"24","1014 2006 "
"25","1014 2001 "
"26","1014 1997 "
"27","1014 2005 "
"28","1014 1998 "
"29","1014 2008 "
"30","1015 2001 "
"31","1015 1999 "
"32","1015 2004 "
"33","1015 2003 "
"34","1015 2010 "
"35","1015 2006 "
"36","1015 2008 "
"37","1015 2009 "
"38","1015 1997 "
"39","1015 1995 "
"40","1015 2002 "
"41","1015 2007 "
"42","1015 2005 "
"43","1015 2000 "
"44","1028 2004 "
"45","1028 2001 "
"46","1028 2008 "
"47","1028 2006 "
"48","1028 2000 "
"49","1028 2009 "
"50","1028 1996 "
"51","1028 2007 "
"52","1028 2010 "
"53","1028 2003 "
"54","1028 2005 "
"55","1028 1998 "
"56","1028 2002 "
"57","1029 2009 "
"58","1029 2002 "
"59","1029 2004 "
"60","1029 2003 "
"61","1029 2010 "
"62","1029 2001 "
"63","1029 1996 "
"64","1029 2006 "
"65","1029 2008 "
"66","1029 1999 "
"67","1029 1998 "
"68","1029 2000 "
"69","1029 2005 "
"70","1029 2007 "
"71","1030 2004 "
"72","1030 2008 "
"73","1030 2006 "
"74","1030 1999 "
"75","1030 2009 "
"76","1030 2001 "
"77","1030 2007 "
"78","1030 2010 "
"79","1030 1996 "
"80","1030 2002 "
"81","1030 2000 "
"82","1030 2005 "
"83","1030 2003 "
"84","1030 1998 "
"85","1043 2001 "
"86","1043 2007 "
"87","1043 2006 "
"88","1043 1998 "
"89","1043 2008 "
"90","1043 1999 "
"91","1043 2004 "
"92","1043 1995 "
"93","1043 2010 "
"94","1043 2005 "
"95","1043 2003 "
"96","1043 2009 "
"97","1043 2000 "
"98","1043 2002 "
"99","1044 2006 "
"100","1044 2000 "
"101","1044 2003 "
"102","1044 2001 "
"103","1044 2008 "
"104","1044 2009 "
"105","1044 2002 "
"106","1044 2004 "
"107","1044 1995 "
"108","1044 2007 "
"109","1044 2010 "
"110","1044 1999 "
"111","1044 1998 "
"112","1044 2005 "
"113","1045 1999 "
"114","1045 2007 "
"115","1045 2002 "
"116","1045 2001 "
"117","1045 2008 "
"118","1045 2000 "
"119","1045 2006 "
"120","1045 1998 "
"121","1045 2003 "
"122","1045 2010 "
"123","1045 1995 "
"124","1045 2005 "
"125","1045 2004 "
"126","1045 2009 "
"127","1144 1998 "
"128","1144 2003 "
"129","1144 2008 "
"130","1144 2005 "
"131","1144 2002 "
"132","1144 2007 "
"133","1144 2006 "
"134","1144 1999 "
"135","1144 1997 "
"136","1144 2009 "
"137","1144 2001 "
"138","1144 2000 "
"139","1144 2004 "
"140","1144 2010 "
"141","1145 2003 "
"142","1145 1998 "
"143","1145 2000 "
"144","1145 2004 "
"145","1145 2001 "
"146","1145 1997 "
"147","1145 2006 "
"148","1145 2002 "
"149","1145 2007 "
"150","1145 1999 "
"151","1145 2005 "
"152","1145 2008 "
"153","1145 2009 "
"154","1145 2010 "
"155","1146 2004 "
"156","1146 2009 "
"157","1146 1999 "
"158","1146 2001 "
"159","1146 2010 "
"160","1146 2002 "
"161","1146 2008 "
"162","1146 2006 "
"163","1146 1997 "
"164","1146 2007 "
"165","1146 1998 "
"166","1146 2005 "
"167","1146 2000 "
"168","1146 2003 "
"169","1517 1996 "
"170","1517 1997 "
"171","1517 2009 "
"172","1517 2006 "
"173","1517 2000 "
"174","1517 2010 "
"175","1517 2001 "
"176","1517 1995 "
"177","1517 2005 "
"178","1517 2008 "
"179","1517 1999 "
"180","1517 2003 "
"181","1517 2007 "
"182","1517 2002 "
"183","1517 1998 "
"184","1517 2004 "
"185","1518 2008 "
"186","1518 2002 "
"187","1518 2007 "
"188","1518 1996 "
"189","1518 2000 "
"190","1518 1997 "
"191","1518 2009 "
"192","1518 1995 "
"193","1518 1998 "
"194","1518 2004 "
"195","1518 2005 "
"196","1518 2010 "
"197","1518 2006 "
"198","1518 1999 "
"199","1518 2001 "
"200","1518 2003 "
"201","1519 2000 "
"202","1519 2007 "
"203","1519 2002 "
"204","1519 2004 "
"205","1519 2005 "
"206","1519 1999 "
"207","1519 2010 "
"208","1519 1995 "
"209","1519 1997 "
"210","1519 2006 "
"211","1519 2003 "
"212","1519 2001 "
"213","1519 1998 "
"214","1519 1996 "
"215","1519 2008 "
"216","1519 2009 "
"217","1539 2007 "
"218","1539 2005 "
"219","1539 2004 "
"220","1539 1998 "
"221","1539 2010 "
"222","1539 2009 "
"223","1539 1999 "
"224","1539 2000 "
"225","1539 2001 "
"226","1539 2008 "
"227","1539 2002 "
"228","1539 2003 "
"229","1539 2006 "
"230","1540 2010 "
"231","1540 1998 "
"232","1540 2007 "
"233","1540 2000 "
"234","1540 2004 "
"235","1540 2009 "
"236","1540 2006 "
"237","1540 2005 "
"238","1540 2008 "
"239","1540 2001 "
"240","1540 1999 "
"241","1540 2002 "
"242","1540 2003 "
"243","1541 2001 "
"244","1541 2000 "
"245","1541 2002 "
"246","1541 2009 "
"247","1541 2007 "
"248","1541 2005 "
"249","1541 2004 "
"250","1541 1999 "
"251","1541 2008 "
"252","1541 1995 "
"253","1541 2003 "
"254","1541 1998 "
"255","1541 2006 "
"256","1541 2010 "
"257","1583 2004 "
"258","1583 2000 "
"259","1583 1999 "
"260","1583 1998 "
"261","1583 2002 "
"262","1583 2001 "
"263","1583 2006 "
"264","1583 2003 "
"265","1583 2007 "
"266","1583 1997 "
"267","1583 2009 "
"268","1583 2010 "
"269","1583 2005 "
"270","1583 2008 "
"271","1584 2007 "
"272","1584 2000 "
"273","1584 1998 "
"274","1584 2006 "
"275","1584 2003 "
"276","1584 2004 "
"277","1584 2008 "
"278","1584 2009 "
"279","1584 2010 "
"280","1584 2005 "
"281","1584 2002 "
"282","1584 1999 "
"283","1584 1997 "
"284","1584 2001 "
"285","1585 2004 "
"286","1585 2006 "
"287","1585 2005 "
"288","1585 2010 "
"289","1585 1999 "
"290","1585 2002 "
"291","1585 2008 "
"292","1585 2009 "
"293","1585 2003 "
"294","1585 2000 "
"295","1585 2001 "
"296","1585 2007 "
"297","1585 1998 "
"298","1585 1997 "
"299","1611 2000 "
"300","1611 2002 "
"301","1611 2005 "
"302","1611 2003 "
"303","1611 1999 "
"304","1611 2007 "
"305","1611 2001 "
"306","1611 2008 "
"307","1611 1997 "
"308","1611 2004 "
"309","1611 1995 "
"310","1611 2009 "
"311","1611 2006 "
"312","1611 2010 "
"313","1612 1999 "
"314","1612 1995 "
"315","1612 2010 "
"316","1612 2008 "
"317","1612 2000 "
"318","1612 1997 "
"319","1612 2009 "
"320","1612 2001 "
"321","1612 2003 "
"322","1612 2005 "
"323","1612 2002 "
"324","1612 2004 "
"325","1612 2007 "
"326","1612 2006 "
"327","1613 2010 "
"328","1613 1995 "
"329","1613 2009 "
"330","1613 2004 "
"331","1613 2005 "
"332","1613 1997 "
"333","1613 2003 "
"334","1613 2006 "
"335","1613 2008 "
"336","1613 2000 "
"337","1613 2001 "
"338","1613 1999 "
"339","1613 2002 "
