"","x"
"1","605"
"2","606"
"3","607"
"4","608"
"5","609"
"6","610"
"7","611"
"8","612"
"9","613"
"10","614"
"11","615"
"12","616"
"13","617"
"14","618"
"15","619"
"16","620"
"17","621"
"18","622"
"19","623"
"20","624"
"21","625"
"22","626"
"23","627"
"24","628"
"25","629"
"26","630"
"27","631"
"28","632"
"29","633"
"30","634"
"31","635"
"32","636"
"33","637"
"34","638"
"35","639"
"36","640"
"37","641"
"38","642"
"39","643"
"40","644"
"41","645"
"42","646"
"43","647"
"44","835"
"45","836"
"46","837"
"47","838"
"48","839"
"49","840"
"50","841"
"51","842"
"52","843"
"53","844"
"54","845"
"55","846"
"56","847"
"57","848"
"58","849"
"59","850"
"60","851"
"61","852"
"62","853"
"63","854"
"64","855"
"65","856"
"66","857"
"67","858"
"68","859"
"69","860"
"70","861"
"71","862"
"72","863"
"73","864"
"74","865"
"75","866"
"76","867"
"77","868"
"78","869"
"79","870"
"80","871"
"81","872"
"82","873"
"83","874"
"84","875"
"85","958"
"86","959"
"87","960"
"88","961"
"89","962"
"90","963"
"91","964"
"92","965"
"93","966"
"94","967"
"95","968"
"96","969"
"97","970"
"98","971"
"99","972"
"100","973"
"101","974"
"102","975"
"103","976"
"104","977"
"105","978"
"106","979"
"107","980"
"108","981"
"109","982"
"110","983"
"111","984"
"112","985"
"113","986"
"114","987"
"115","988"
"116","989"
"117","990"
"118","991"
"119","992"
"120","993"
"121","994"
"122","995"
"123","996"
"124","997"
"125","998"
"126","999"
"127","1472"
"128","1473"
"129","1474"
"130","1475"
"131","1476"
"132","1477"
"133","1478"
"134","1479"
"135","1480"
"136","1481"
"137","1482"
"138","1483"
"139","1484"
"140","1485"
"141","1486"
"142","1487"
"143","1488"
"144","1489"
"145","1490"
"146","1491"
"147","1492"
"148","1493"
"149","1494"
"150","1495"
"151","1496"
"152","1497"
"153","1498"
"154","1499"
"155","1500"
"156","1501"
"157","1502"
"158","1503"
"159","1504"
"160","1505"
"161","1506"
"162","1507"
"163","1508"
"164","1509"
"165","1510"
"166","1511"
"167","1512"
"168","1513"
"169","1945"
"170","1946"
"171","1947"
"172","1948"
"173","1949"
"174","1950"
"175","1951"
"176","1952"
"177","1953"
"178","1954"
"179","1955"
"180","1956"
"181","1957"
"182","1958"
"183","1959"
"184","1960"
"185","1961"
"186","1962"
"187","1963"
"188","1964"
"189","1965"
"190","1966"
"191","1967"
"192","1968"
"193","1969"
"194","1970"
"195","1971"
"196","1972"
"197","1973"
"198","1974"
"199","1975"
"200","1976"
"201","1977"
"202","1978"
"203","1979"
"204","1980"
"205","1981"
"206","1982"
"207","1983"
"208","1984"
"209","1985"
"210","1986"
"211","1987"
"212","1988"
"213","1989"
"214","1990"
"215","1991"
"216","1992"
"217","2078"
"218","2079"
"219","2080"
"220","2081"
"221","2082"
"222","2083"
"223","2084"
"224","2085"
"225","2086"
"226","2087"
"227","2088"
"228","2089"
"229","2090"
"230","2091"
"231","2092"
"232","2093"
"233","2094"
"234","2095"
"235","2096"
"236","2097"
"237","2098"
"238","2099"
"239","2100"
"240","2101"
"241","2102"
"242","2103"
"243","2104"
"244","2105"
"245","2106"
"246","2107"
"247","2108"
"248","2109"
"249","2110"
"250","2111"
"251","2112"
"252","2113"
"253","2114"
"254","2115"
"255","2116"
"256","2117"
"257","2444"
"258","2445"
"259","2446"
"260","2447"
"261","2448"
"262","2449"
"263","2450"
"264","2451"
"265","2452"
"266","2453"
"267","2454"
"268","2455"
"269","2456"
"270","2457"
"271","2458"
"272","2459"
"273","2460"
"274","2461"
"275","2462"
"276","2463"
"277","2464"
"278","2465"
"279","2466"
"280","2467"
"281","2468"
"282","2469"
"283","2470"
"284","2471"
"285","2472"
"286","2473"
"287","2474"
"288","2475"
"289","2476"
"290","2477"
"291","2478"
"292","2479"
"293","2480"
"294","2481"
"295","2482"
"296","2483"
"297","2484"
"298","2485"
"299","2714"
"300","2715"
"301","2716"
"302","2717"
"303","2718"
"304","2719"
"305","2720"
"306","2721"
"307","2722"
"308","2723"
"309","2724"
"310","2725"
"311","2726"
"312","2727"
"313","2728"
"314","2729"
"315","2730"
"316","2731"
"317","2732"
"318","2733"
"319","2734"
"320","2735"
"321","2736"
"322","2737"
"323","2738"
"324","2739"
"325","2740"
"326","2741"
"327","2742"
"328","2743"
"329","2744"
"330","2745"
"331","2746"
"332","2747"
"333","2748"
"334","2749"
"335","2750"
"336","2751"
"337","2752"
"338","2753"
"339","2754"
