ID,Forest,site,year,Forest_Name,nrri_fstypename,FS_COVERTYPE,YEAR_OF_ORIGIN,STAND_AGE in 2012,Age_when_Surveyed,Age Code,GTR Habitat Type,FSType + Age Code
18451,9020,-1072,1992,Cheq,Cedar,,0,0,1992,5,SwampCon,SwampCon5
18452,9020,-1072,1993,Cheq,Cedar,,0,0,1993,5,SwampCon,SwampCon5
18453,9020,-1072,1994,Cheq,Cedar,,0,0,1994,5,SwampCon,SwampCon5
18454,9020,-1072,1995,Cheq,Cedar,,0,0,1995,5,SwampCon,SwampCon5
18455,9020,-1072,1996,Cheq,Cedar,,0,0,1996,5,SwampCon,SwampCon5
18456,9020,-1072,1997,Cheq,Cedar,,0,0,1997,5,SwampCon,SwampCon5
18457,9020,-1072,1998,Cheq,Cedar,,0,0,1998,5,SwampCon,SwampCon5
18458,9020,-1072,1999,Cheq,Cedar,,0,0,1999,5,SwampCon,SwampCon5
18459,9020,-1072,2000,Cheq,Cedar,,0,0,2000,5,SwampCon,SwampCon5
18460,9020,-1072,2001,Cheq,Cedar,,0,0,2001,5,SwampCon,SwampCon5
18461,9020,-1072,2002,Cheq,Cedar,,0,0,2002,5,SwampCon,SwampCon5
18462,9020,-1072,2003,Cheq,Cedar,,0,0,2003,5,SwampCon,SwampCon5
18463,9020,-1072,2004,Cheq,Cedar,,0,0,2004,5,SwampCon,SwampCon5
18464,9020,-1072,2005,Cheq,Cedar,,0,0,2005,5,SwampCon,SwampCon5
18465,9020,-1072,2006,Cheq,Cedar,,0,0,2006,5,SwampCon,SwampCon5
18466,9020,-1072,2007,Cheq,Cedar,,0,0,2007,5,SwampCon,SwampCon5
18467,9020,-1072,2008,Cheq,Cedar,,0,0,2008,5,SwampCon,SwampCon5
18468,9020,-1072,2009,Cheq,Cedar,,0,0,2009,5,SwampCon,SwampCon5
18469,9020,-1072,2010,Cheq,Cedar,,0,0,2010,5,SwampCon,SwampCon5
18470,9020,-926,1992,Cheq,White pine,,0,0,1992,5,White pine,White pine5
18471,9020,-926,1993,Cheq,White pine,,0,0,1993,5,White pine,White pine5
18472,9020,-926,1994,Cheq,White pine,,0,0,1994,5,White pine,White pine5
18473,9020,-926,1995,Cheq,White pine,,0,0,1995,5,White pine,White pine5
18474,9020,-926,1996,Cheq,White pine,,0,0,1996,5,White pine,White pine5
18475,9020,-926,1997,Cheq,White pine,,0,0,1997,5,White pine,White pine5
18476,9020,-926,1998,Cheq,White pine,,0,0,1998,5,White pine,White pine5
18477,9020,-926,1999,Cheq,White pine,,0,0,1999,5,White pine,White pine5
18478,9020,-926,2001,Cheq,White pine,,0,0,2001,5,White pine,White pine5
18479,9020,-926,2002,Cheq,White pine,,0,0,2002,5,White pine,White pine5
18480,9020,-926,2003,Cheq,White pine,,0,0,2003,5,White pine,White pine5
18481,9020,-926,2004,Cheq,White pine,,0,0,2004,5,White pine,White pine5
18482,9020,-926,2005,Cheq,White pine,,0,0,2005,5,White pine,White pine5
18483,9020,-926,2006,Cheq,White pine,,0,0,2006,5,White pine,White pine5
18484,9020,-926,2007,Cheq,White pine,,0,0,2007,5,White pine,White pine5
18485,9020,-926,2008,Cheq,White pine,,0,0,2008,5,White pine,White pine5
18486,9020,-926,2009,Cheq,White pine,,0,0,2009,5,White pine,White pine5
18487,9020,-926,2010,Cheq,White pine,,0,0,2010,5,White pine,White pine5
1509,9030,1,1995,Chip,Red pine,Red pine,1920,92,75,4,Red pine,Red pine4
1510,9030,1,1996,Chip,Red pine,Red pine,1920,92,76,4,Red pine,Red pine4
1511,9030,1,1997,Chip,Red pine,Red pine,1920,92,77,4,Red pine,Red pine4
1512,9030,1,1998,Chip,Red pine,Red pine,1920,92,78,4,Red pine,Red pine4
1513,9030,1,1999,Chip,Red pine,Red pine,1920,92,79,4,Red pine,Red pine4
1514,9030,1,2000,Chip,Red pine,Red pine,1920,92,80,4,Red pine,Red pine4
1515,9030,1,2001,Chip,Red pine,Red pine,1920,92,81,4,Red pine,Red pine4
1516,9030,1,2002,Chip,Red pine,Red pine,1920,92,82,4,Red pine,Red pine4
1517,9030,1,2003,Chip,Red pine,Red pine,1920,92,83,4,Red pine,Red pine4
1518,9030,1,2004,Chip,Red pine,Red pine,1920,92,84,4,Red pine,Red pine4
1519,9030,1,2005,Chip,Red pine,Red pine,1920,92,85,4,Red pine,Red pine4
1520,9030,1,2006,Chip,Red pine,Red pine,1920,92,86,4,Red pine,Red pine4
1521,9030,1,2007,Chip,Red pine,Red pine,1920,92,87,4,Red pine,Red pine4
1522,9030,1,2008,Chip,Red pine,Red pine,1920,92,88,4,Red pine,Red pine4
1523,9030,1,2009,Chip,Red pine,Red pine,1920,92,89,4,Red pine,Red pine4
