"forest","standunique","site"
9020.00,1.00,1597
9020.00,1.00,1596
9020.00,2.00,1208
9020.00,2.00,1206
9020.00,3.00,1593
9020.00,3.00,1594
9020.00,4.00,1599
9020.00,4.00,1598
9020.00,5.00,1571
9020.00,5.00,1569
9020.00,7.00,1573
9020.00,7.00,1574
9020.00,10.00,1418
9020.00,10.00,1417
9020.00,11.00,1421
9020.00,11.00,1420
9020.00,12.00,1567
9020.00,12.00,1566
9020.00,13.00,1413
9020.00,13.00,1414
9020.00,14.00,1407
9020.00,14.00,1409
9020.00,15.00,1411
9020.00,15.00,1412
9020.00,16.00,1406
9020.00,16.00,1404
9020.00,17.00,1590
9020.00,17.00,1589
9020.00,18.00,1584
9020.00,18.00,1583
9020.00,19.00,1580
9020.00,19.00,1582
9020.00,20.00,1586
9020.00,20.00,1588
9020.00,21.00,1561
9020.00,21.00,1560
9020.00,22.00,1557
9020.00,22.00,1558
9020.00,23.00,1556
9020.00,23.00,1555
9020.00,24.00,1564
9020.00,24.00,1565
9020.00,25.00,1532
9020.00,25.00,1533
9020.00,26.00,1552
9020.00,26.00,1551
9020.00,27.00,1529
9020.00,27.00,1531
9020.00,28.00,1549
9020.00,28.00,1548
9020.00,29.00,1692
9020.00,29.00,1691
9020.00,30.00,1514
9020.00,30.00,1515
9020.00,31.00,1507
9020.00,31.00,1505
9020.00,32.00,1511
9020.00,32.00,1512
9020.00,33.00,1518
9020.00,33.00,1519
9020.00,34.00,1521
9020.00,34.00,1522
9020.00,35.00,1525
9020.00,35.00,1524
9020.00,36.00,1526
9020.00,36.00,1527
9020.00,37.00,1403
9020.00,37.00,1401
9020.00,39.00,1304
9020.00,39.00,1306
9020.00,40.00,1303
9020.00,40.00,1301
9020.00,41.00,1318
9020.00,41.00,1317
9020.00,42.00,1313
9020.00,42.00,1311
9020.00,43.00,1322
9020.00,43.00,1321
9020.00,44.00,1315
9020.00,44.00,1314
9020.00,45.00,1072
9020.00,45.00,1070
9020.00,46.00,1069
9020.00,46.00,1067
9020.00,47.00,1066
9020.00,47.00,1065
9020.00,48.00,1061
9020.00,48.00,1062
9020.00,49.00,1508
9020.00,49.00,1509
9020.00,50.00,1153
9020.00,50.00,1154
9020.00,52.00,1152
9020.00,52.00,1150
9020.00,53.00,1147
9020.00,53.00,1148
9020.00,54.00,1145
9020.00,54.00,1144
9020.00,55.00,1602
9020.00,55.00,1603
9020.00,56.00,1605
9020.00,56.00,1607
9020.00,57.00,1199
9020.00,57.00,1601
9020.00,58.00,1193
9020.00,58.00,1196
9020.00,59.00,1638
9020.00,59.00,1639
9020.00,60.00,1646
9020.00,60.00,1645
9020.00,61.00,1648
9020.00,61.00,1647
9020.00,62.00,1643
9020.00,62.00,1641
9020.00,63.00,1628
9020.00,63.00,1629
9020.00,64.00,1631
9020.00,64.00,1632
9020.00,65.00,1637
9020.00,65.00,1636
9020.00,66.00,1610
9020.00,66.00,1608
9020.00,68.00,1611
9020.00,68.00,1612
9020.00,69.00,1619
9020.00,69.00,1621
9020.00,70.00,1623
9020.00,70.00,1622
9020.00,71.00,1625
9020.00,71.00,1626
9020.00,72.00,1544
9020.00,72.00,1543
9020.00,73.00,1547
9020.00,73.00,1546
9020.00,74.00,1541
9020.00,74.00,1539
9020.00,76.00,1536
9020.00,76.00,1535
9020.00,77.00,1653
9020.00,77.00,1655
9020.00,78.00,1659
9020.00,78.00,1660
9020.00,79.00,1651
9020.00,79.00,1652
9020.00,80.00,1657
9020.00,80.00,1658
9020.00,81.00,1037
9020.00,81.00,1039
9020.00,82.00,1041
9020.00,82.00,1040
9020.00,83.00,1045
9020.00,83.00,1044
9020.00,84.00,1048
9020.00,84.00,1047
9020.00,85.00,1081
9020.00,85.00,1079
9020.00,86.00,1083
9020.00,86.00,1082
9020.00,87.00,1078
9020.00,87.00,1076
9020.00,88.00,1073
9020.00,88.00,1074
9020.00,89.00,1027
9020.00,89.00,1026
9020.00,90.00,1029
9020.00,90.00,1028
9020.00,92.00,1035
9020.00,92.00,1036
9020.00,93.00,1049
9020.00,93.00,1051
9020.00,94.00,1054
9020.00,94.00,1053
9020.00,95.00,1058
9020.00,95.00,1060
9020.00,96.00,1057
9020.00,96.00,1055
9020.00,97.00,971
9020.00,97.00,970
9020.00,98.00,968
9020.00,98.00,967
9020.00,99.00,961
9020.00,99.00,962
9020.00,100.00,966
9020.00,100.00,965
9020.00,101.00,951
9020.00,101.00,950
9020.00,102.00,953
9020.00,102.00,952
9020.00,103.00,956
9020.00,103.00,955
9020.00,104.00,960
9020.00,104.00,959
9020.00,105.00,1105
9020.00,105.00,1104
9020.00,106.00,1103
9020.00,106.00,1102
9020.00,107.00,1177
9020.00,107.00,1179
9020.00,108.00,1188
9020.00,108.00,1186
9020.00,109.00,1184
9020.00,109.00,1183
9020.00,110.00,1182
9020.00,110.00,1181
9020.00,111.00,1175
9020.00,111.00,1176
9020.00,112.00,1171
9020.00,112.00,1172
9020.00,113.00,1189
9020.00,113.00,1191
9020.00,114.00,1115
9020.00,114.00,1114
9020.00,115.00,1116
9020.00,115.00,1117
9020.00,116.00,1124
9020.00,116.00,1122
9020.00,117.00,1161
9020.00,117.00,1120
9020.00,118.00,1111
9020.00,118.00,1112
9020.00,119.00,1109
9020.00,119.00,1108
9020.00,121.00,944
9020.00,121.00,942
9020.00,123.00,946
9020.00,123.00,947
9020.00,124.00,1013
9020.00,124.00,1014
9020.00,125.00,1018
9020.00,125.00,1016
9020.00,126.00,1024
9020.00,126.00,1023
9020.00,127.00,1019
9020.00,127.00,1021
9020.00,128.00,937
9020.00,128.00,935
9020.00,129.00,939
9020.00,129.00,938
9020.00,130.00,929
9020.00,130.00,930
9020.00,131.00,934
9020.00,131.00,933
9020.00,132.00,1003
9020.00,132.00,1002
9020.00,133.00,1011
9020.00,133.00,1012
9020.00,134.00,1004
9020.00,134.00,1006
9020.00,135.00,1009
9020.00,135.00,1008
9020.00,136.00,927
9020.00,136.00,928
9020.00,137.00,925
9020.00,137.00,-926
9020.00,138.00,917
9020.00,138.00,919
9020.00,139.00,922
9020.00,139.00,920
9030.00,140.00,262
9030.00,140.00,260
9030.00,141.00,268
9030.00,141.00,266
9030.00,142.00,257
9030.00,142.00,259
9030.00,143.00,264
9030.00,143.00,263
9030.00,144.00,247
9030.00,144.00,246
9030.00,145.00,256
9030.00,145.00,254
9030.00,146.00,251
9030.00,146.00,252
9030.00,147.00,250
9030.00,147.00,249
9030.00,148.00,231
9030.00,148.00,230
9030.00,149.00,240
9030.00,149.00,239
9030.00,150.00,237
9030.00,150.00,238
9030.00,151.00,234
9030.00,151.00,235
9030.00,152.00,297
