"Site","Date","Bird","Minutes","Type","Outside","Abbrev","EditedBy","DateEdited","Secondary"
655.00,6/15/2013 0:00:00,674,0,"S",4,"OVEN","Admin",7/3/2013 0:00:00,0
655.00,6/15/2013 0:00:00,624,8,"S",4,"REVI","Admin",7/3/2013 0:00:00,0
655.00,6/15/2013 0:00:00,645,8,"S",4,"NAWA","Admin",7/3/2013 0:00:00,0
655.00,6/15/2013 0:00:00,761,6,"S",4,"AMRO","Admin",7/3/2013 0:00:00,0
655.00,6/15/2013 0:00:00,759,8,"S",4,"HETH","Admin",7/3/2013 0:00:00,0
655.00,6/15/2013 0:00:00,674,2,"S",4,"OVEN","Admin",7/3/2013 0:00:00,0
655.00,6/15/2013 0:00:00,624,0,"S",3,"REVI","Admin",7/3/2013 0:00:00,0
655.00,6/15/2013 0:00:00,624,7,"S",3,"REVI","Admin",7/3/2013 0:00:00,0
198.00,6/27/2013 0:00:00,659,2,"S",4,"CSWA","Admin",7/10/2013 0:00:00,0
198.00,6/27/2013 0:00:00,728,0,"C",4,"RBNU","Admin",7/10/2013 0:00:00,0
198.00,6/27/2013 0:00:00,671,0,"S",4,"PIWA","Admin",7/10/2013 0:00:00,0
198.00,6/27/2013 0:00:00,624,0,"S",4,"REVI","Admin",7/10/2013 0:00:00,0
198.00,6/27/2013 0:00:00,595,0,"S",4,"RBGR","Admin",7/10/2013 0:00:00,0
198.00,6/27/2013 0:00:00,628,4,"S",4,"YTVI","Admin",7/10/2013 0:00:00,0
198.00,6/27/2013 0:00:00,486,4,"C",4,"CORA","Admin",7/10/2013 0:00:00,0
198.00,6/27/2013 0:00:00,721,0,"S",4,"HOWR","Admin",7/10/2013 0:00:00,0
198.00,6/27/2013 0:00:00,659,6,"S",4,"CSWA","Admin",7/10/2013 0:00:00,0
198.00,6/27/2013 0:00:00,756,3,"C",4,"VEER","Admin",7/10/2013 0:00:00,0
198.00,6/27/2013 0:00:00,624,2,"S",4,"REVI","Admin",7/10/2013 0:00:00,0
198.00,6/27/2013 0:00:00,674,0,"S",4,"OVEN","Admin",7/10/2013 0:00:00,0
198.00,6/27/2013 0:00:00,687,6,"S",3,"AMRE","Admin",7/10/2013 0:00:00,0
198.00,6/27/2013 0:00:00,461,5,"S",3,"EAWP","Admin",7/10/2013 0:00:00,0
198.00,6/27/2013 0:00:00,659,6,"S",3,"CSWA","Admin",7/10/2013 0:00:00,0
198.00,6/27/2013 0:00:00,645,6,"S",3,"NAWA","Admin",7/10/2013 0:00:00,0
198.00,6/27/2013 0:00:00,659,0,"S",2,"CSWA","Admin",7/10/2013 0:00:00,0
198.00,6/27/2013 0:00:00,662,3,"S",2,"BLBW","Admin",7/10/2013 0:00:00,0
198.00,6/27/2013 0:00:00,687,2,"S",2,"AMRE","Admin",7/10/2013 0:00:00,0
198.00,6/27/2013 0:00:00,662,6,"S",2,"BLBW","Admin",7/10/2013 0:00:00,0
198.00,6/27/2013 0:00:00,671,4,"S",2,"PIWA","Admin",7/10/2013 0:00:00,0
199.00,6/27/2013 0:00:00,674,8,"S",4,"OVEN","Admin",7/10/2013 0:00:00,0
199.00,6/27/2013 0:00:00,624,0,"S",4,"REVI","Admin",7/10/2013 0:00:00,0
199.00,6/27/2013 0:00:00,642,8,"S",4,"GWWA","Admin",7/10/2013 0:00:00,0
199.00,6/27/2013 0:00:00,756,4,"S",4,"VEER","Admin",7/10/2013 0:00:00,0
199.00,6/27/2013 0:00:00,624,8,"S",4,"REVI","Admin",7/10/2013 0:00:00,0
199.00,6/27/2013 0:00:00,671,5,"S",4,"PIWA","Admin",7/10/2013 0:00:00,0
199.00,6/27/2013 0:00:00,624,2,"S",4,"REVI","Admin",7/10/2013 0:00:00,0
199.00,6/27/2013 0:00:00,674,6,"S",4,"OVEN","Admin",7/10/2013 0:00:00,0
199.00,6/27/2013 0:00:00,674,0,"S",4,"OVEN","Admin",7/10/2013 0:00:00,0
199.00,6/27/2013 0:00:00,662,0,"S",4,"BLBW","Admin",7/10/2013 0:00:00,0
199.00,6/27/2013 0:00:00,756,9,"C",4,"VEER","Admin",7/10/2013 0:00:00,0
199.00,6/27/2013 0:00:00,674,0,"S",4,"OVEN","Admin",7/10/2013 0:00:00,0
199.00,6/27/2013 0:00:00,659,0,"S",4,"CSWA","Admin",7/10/2013 0:00:00,0
199.00,6/27/2013 0:00:00,645,0,"S",4,"NAWA","Admin",7/10/2013 0:00:00,0
199.00,6/27/2013 0:00:00,671,0,"S",3,"PIWA","Admin",7/10/2013 0:00:00,0
199.00,6/27/2013 0:00:00,645,0,"S",3,"NAWA","Admin",7/10/2013 0:00:00,0
199.00,6/27/2013 0:00:00,655,7,"S",3,"MYWA","Admin",7/10/2013 0:00:00,0
199.00,6/27/2013 0:00:00,674,0,"S",3,"OVEN","Admin",7/10/2013 0:00:00,0
199.00,6/27/2013 0:00:00,624,0,"S",3,"REVI","Admin",7/10/2013 0:00:00,0
199.00,6/27/2013 0:00:00,645,0,"S",3,"NAWA","Admin",7/10/2013 0:00:00,0
199.00,6/27/2013 0:00:00,900,4,"C",3,"UPBD","Admin",7/10/2013 0:00:00,0
199.00,6/27/2013 0:00:00,662,7,"S",3,"BLBW","Admin",7/10/2013 0:00:00,0
199.00,6/27/2013 0:00:00,662,0,"S",2,"BLBW","Admin",7/10/2013 0:00:00,0
199.00,6/27/2013 0:00:00,900,9,"C",2,"UPBD","Admin",7/10/2013 0:00:00,0
199.00,6/27/2013 0:00:00,662,0,"S",2,"BLBW","Admin",7/10/2013 0:00:00,0
199.00,6/27/2013 0:00:00,900,2,"C",1,"UPBD","Admin",7/10/2013 0:00:00,0
200.00,6/27/2013 0:00:00,756,2,"C",4,"VEER","Admin",7/10/2013 0:00:00,0
200.00,6/27/2013 0:00:00,645,0,"S",4,"NAWA","Admin",7/10/2013 0:00:00,0
200.00,6/27/2013 0:00:00,659,2,"S",4,"CSWA","Admin",7/10/2013 0:00:00,0
200.00,6/27/2013 0:00:00,671,7,"S",4,"PIWA","Admin",7/10/2013 0:00:00,0
200.00,6/27/2013 0:00:00,756,2,"C",4,"VEER","Admin",7/10/2013 0:00:00,0
200.00,6/27/2013 0:00:00,756,0,"C",4,"VEER","Admin",7/10/2013 0:00:00,0
200.00,6/27/2013 0:00:00,659,3,"S",4,"CSWA","Admin",7/10/2013 0:00:00,0
200.00,6/27/2013 0:00:00,7,9,"C",4,"COLO","Admin",7/10/2013 0:00:00,0
200.00,6/27/2013 0:00:00,659,3,"S",4,"CSWA","Admin",7/10/2013 0:00:00,0
200.00,6/27/2013 0:00:00,674,0,"S",4,"OVEN","Admin",7/10/2013 0:00:00,0
200.00,6/27/2013 0:00:00,624,0,"S",4,"REVI","Admin",7/10/2013 0:00:00,0
200.00,6/27/2013 0:00:00,595,7,"S",4,"RBGR","Admin",7/10/2013 0:00:00,0
200.00,6/27/2013 0:00:00,659,3,"S",4,"CSWA","Admin",7/10/2013 0:00:00,0
200.00,6/27/2013 0:00:00,477,4,"C",4,"BLJA","Admin",7/10/2013 0:00:00,0
200.00,6/27/2013 0:00:00,467,0,"S",4,"LEFL","Admin",7/10/2013 0:00:00,0
200.00,6/27/2013 0:00:00,655,4,"S",3,"MYWA","Admin",7/10/2013 0:00:00,0
200.00,6/27/2013 0:00:00,659,2,"S",3,"CSWA","Admin",7/10/2013 0:00:00,0
200.00,6/27/2013 0:00:00,657,8,"S",3,"MAWA","Admin",7/10/2013 0:00:00,0
200.00,6/27/2013 0:00:00,671,6,"S",3,"PIWA","Admin",7/10/2013 0:00:00,0
530.00,6/4/2013 0:00:00,722,2,"S",4,"WIWR","Admin",6/26/2013 0:00:00,0
530.00,6/4/2013 0:00:00,402,5,"D",4,"YBSA","Admin",6/26/2013 0:00:00,0
530.00,6/4/2013 0:00:00,674,0,"S",4,"OVEN","Admin",6/26/2013 0:00:00,0
530.00,6/4/2013 0:00:00,402,6,"D",4,"YBSA","Admin",6/26/2013 0:00:00,0
530.00,6/4/2013 0:00:00,674,0,"S",4,"OVEN","Admin",6/26/2013 0:00:00,0
530.00,6/4/2013 0:00:00,477,8,"C",4,"BLJA","Admin",6/26/2013 0:00:00,0
530.00,6/4/2013 0:00:00,402,0,"D",4,"YBSA","Admin",6/26/2013 0:00:00,0
530.00,6/4/2013 0:00:00,402,6,"D",4,"YBSA","Admin",6/26/2013 0:00:00,0
530.00,6/4/2013 0:00:00,722,0,"S",2,"WIWR","Admin",6/26/2013 0:00:00,0
3.00,6/20/2013 0:00:00,467,4,"S",4,"LEFL","Admin",7/9/2013 0:00:00,0
3.00,6/20/2013 0:00:00,560,0,"S",4,"CHSP","Admin",7/9/2013 0:00:00,0
