"site","year","rain","lt3","fs","john","rep","edge","lt2","other","logged","grew","close"
65,1996,,,,,,,,,,1,
65,1997,,,,,,,,,,,
65,1998,,,,,,,,,,,
66,1991,,,,,,,,,,,
66,1992,,,,,,,,,,,
66,1993,,,,,,,,,,,
66,1994,,,,,,,,,,,
66,1995,,,,,,,,,,,
66,1996,,,,,,,,,,1,
66,1997,,,,,,,,,,,
66,1998,,,,,,,,,,,
67,1991,,,,,,,,,,,
67,1992,,,,,,,,,,,
67,1993,,,,,,,,,,,
67,1994,,,,,,,,,,,
67,1995,,,,,,,,,,,
67,1996,,,,,,,,,,,
67,1997,,,,,,,,,,,
67,1998,,,,,,,,,,,
68,1991,,,,,,,,,,,
68,1992,,,,,,,,,,,
68,1993,,,,,,,,,,,
68,1994,,,,,,,,,,,
68,1995,,,,,,,,,,,
68,1996,,,,,,,,,,,
68,1997,,,,,,,,,,,
68,1998,,,,,,,,,,,
69,1991,,,,,,,,,,,
69,1992,,,,,,,,,,,
69,1993,,,,,,,,,,,
69,1994,,,,,,,,,,,
69,1995,,,,,,,,,,,
69,1996,,,,,,,,,,,
69,1997,,,,,,,,,,,
69,1998,,,,,,,,,,,
70,1991,,,,,,,,,,,
70,1992,,,,,,,,,,,
70,1993,,,,,,,,,,,
70,1994,,,,,,,,,,,
70,1996,,,,,,,,,,,
70,1997,,,,,,,,,,,
70,1998,,,,,,,,,,,
71,1991,,,,,,,,,,,
71,1992,,,,,,,,,,,
71,1993,,,,,,,,,,,
71,1994,,,,,,,,,,,
71,1996,,,,,,,,,,,
71,1997,,,,,,,,,,,
71,1998,,,,,,,,,,,
72,1991,,,,,,,,,,,
72,1992,,,,,,,,,,,
72,1993,,,,,,,,,,,
72,1994,,,,,,,,,,,
72,1996,,,,,,,,,,,
72,1997,,,,,,,,,,,
72,1998,,,,,,,,,,,
73,1991,,,,,,,,,,,
73,1992,,,,,,,,,,,
73,1993,1,,,,,,,,,,
73,1994,,,,,,,,,,,
73,1995,,,,,,,,,,,
73,1996,,,,,,,,,,,
73,1997,,,,,,,,,,,
73,1998,,,,,,,,,,,
74,1991,,,,,,,,,,,
74,1992,,,,,,,,,,,
74,1993,1,,,,,,,,,,
74,1994,,,,,,,,,,,
74,1995,,,,,,,,,,,
74,1996,,,,,,,,,,,
74,1997,,,,,,,,,,,
74,1998,,,,,,,,,,,
75,1991,,,,,,,,,,,
75,1992,,,,,,,,,,,
75,1993,1,,,1,,,,,,,
75,1994,,,,,,,,,,,
75,1995,,,,,,,,,,,
75,1996,,,,,,,,,,,
75,1997,,,,,,,,,,,
75,1998,,,,,,,,,,,
76,1991,,,,,,,,,,,
76,1992,,,,,,,,,,,
76,1993,1,,,1,,,,,,,
76,1994,,,,,,,,,,,
76,1995,,,,,,,,,,,
76,1996,,,,,,,,,,,
76,1997,,,,,,,,,,,
76,1998,,,,,,,,,,,
77,1991,,,,,,,,,,,
77,1992,,,,,,,,,,,
77,1993,1,,,1,,,,,,,
77,1994,,,,,,,,,,,
77,1995,,,,,,,,,,,
77,1996,,,,,,,,,,,
77,1997,,,,,,,,,,,
77,1998,,,,,,,,,,,
78,1991,,,,,,,,,,,
78,1992,,,,,,,,,,,
78,1993,1,,,,,,,,,,
78,1994,,,,,,,,,,,
78,1995,,,,,,,,,,,
78,1996,,,,,,,,,,,
78,1997,,,,,,,,,,,
78,1998,,,,,,,,,,,
79,1991,,,,,,,,,,,
79,1992,,,,,,,,,,,
79,1993,1,,,,,,,,,,
79,1994,,,,,,,,,,,
79,1995,,,,,,,,,,,
79,1996,,,,,,,,,,,
79,1997,,,,,,,,,,,
79,1998,,,,,,,,,,,
80,1991,,,,,,,,,,,
80,1992,,,,,,,,,,,
80,1993,1,,,,,,,,,,
80,1994,,,,,,,,,,,
80,1995,,,,,,,,,,,
80,1996,,,,,,,,,,,
80,1997,,,,,,,,,,,
80,1998,,,,,,,,,,,
81,1991,,,,,,,,,,,
81,1992,,,,,,,,,,,
81,1993,1,,,,,,,,,,
81,1994,,,,,,,,,,,
81,1995,,,,,,,,,,,
81,1996,,,,,,,,,,,
81,1997,,,,,,,,,,,
81,1998,,,,,,,,,,,
82,1991,,,,,,,,,,,
82,1992,,,,,,,,,,,
82,1993,,,,1,,,,,,,
82,1994,,,,,,,,,,,
82,1995,,,,,,,,,,,
82,1996,,,,,,,,,,,
82,1997,,,,,,,,,,,
82,1998,,,,,,,,,,,
83,1991,,,,,,,,,,,
83,1992,,,,,,,,,,,
