"food","foragingtype"
1,"Aquatic invertebrates and fish"
2,"Predator on birds, small mammals, large insects"
3,"Scavenger"
4,"Vegetation, not including cones or fruit"
5,"Omnivores"
6,"Ground Invertebrates"
7,"Seeds"
8,"Ground insects and seeds"
9,"Ground insects and fruit"
10,"Foliage insects"
11,"Aerial insects in flight"
12,"Flycatchers"
13,"Foliage insects and fruit"
14,"Fruit"
15,"Foliage insects and seeds"
16,"Bark insects"
17,"Nectar and Sap"
18,"Aquatic vegetation"
19,"Aquatic invertebrates"
20,"Nectar"
