"fstype","fstypename","fine3","newname","age","age_class","age2","upl_low","broad","broad2","con","con_decid_mixed","decid","fine1","fine2"
"935","Bigtooth aspen","ab pole","Bigtooth aspen","pole","pole","non-regen","upl","upl decid","upl decid","not conif","decid","decid","ab","ab"
"936","Bigtooth aspen","ab pole","Bigtooth aspen","pole","pole","non-regen","upl","upl decid","upl decid","not conif","decid","decid","ab","ab"
"937","Bigtooth aspen",,"Bigtooth aspen","saw",,,,,"upl decid",,,,,
"938","Bigtooth aspen",,"Bigtooth aspen","saw",,,,,"upl decid",,,,,
"939","Bigtooth aspen",,"Bigtooth aspen","saw",,,,,"upl decid",,,,,
"941","Balsam poplar",,"Balsam poplar","regeneration",,,,,"upl decid regen",,,,,
"942","Balsam poplar",,"Balsam poplar","regeneration",,,,,"upl decid regen",,,,,
"943","Balsam poplar",,"Balsam poplar","regeneration",,,,,"upl decid regen",,,,,
"944","Balsam poplar",,"Balsam poplar","pole",,,,,"upl decid",,,,,
"945","Balsam poplar",,"Balsam poplar","pole",,,,,"upl decid",,,,,
"946","Balsam poplar",,"Balsam poplar","pole",,,,,"upl decid",,,,,
"947","Balsam poplar",,"Balsam poplar","saw",,,,,"upl decid",,,,,
"948","Balsam poplar",,"Balsam poplar","saw",,,,,"upl decid",,,,,
"949","Balsam poplar",,"Balsam poplar","saw",,,,,"upl decid",,,,,
"951","Aspen/White spruce",,"Aspen/White spruce","regeneration",,,,,"not used",,,,,
"956","Aspen/White spruce","fab pole","Aspen/White spruce","pole","pole","non-regen","upl","upl mixed","upl mixed","conif","mixed","decid","fab","fab"
"011","Jack pine","conif regen","Jack pine","regeneration","not used","not used","not used","not used","not used","not used","not used","not used","not used","not used"
"012","Jack pine","conif regen","Jack pine","regeneration","not used","not used","not used","not used","not used","not used","not used","not used","not used","not used"
"013","Jack pine","conif regen","Jack pine","regeneration","not used","not used","not used","not used","not used","not used","not used","not used","not used","not used"
"016","Jack pine","jp pole","Jack pine","pole","pole","non-regen","upl","upl conif","upl conif","conif","conif","not decid","pine","jp"
"017","Jack pine","jp saw","Jack pine","saw","saw","non-regen","upl","upl conif","upl conif","conif","conif","not decid","pine","jp"
"018","Jack pine","jp saw","Jack pine","saw","saw","non-regen","upl","upl conif","upl conif","conif","conif","not decid","pine","jp"
"019","Jack pine","jp saw","Jack pine","saw","saw","non-regen","upl","upl conif","upl conif","conif","conif","not decid","pine","jp"
"021","Red pine","conif regen","Red pine","regeneration","regen","regen","upl","upl conif","upl conif regen","conif","conif","not decid","upl regen","pine regen"
"022","Red pine","conif regen","Red pine","regeneration","regen","regen","upl","upl conif","upl conif regen","conif","conif","not decid","upl regen","pine regen"
"023","Red pine","conif regen","Red pine","regeneration","regen","regen","upl","upl conif","upl conif regen","conif","conif","not decid","upl regen","pine regen"
"024","Red pine","rp pole","Red pine","pole","pole","non-regen","upl","upl conif","upl conif","conif","conif","not decid","pine","rp"
"025","Red pine","rp pole","Red pine","pole","pole","non-regen","upl","upl conif","upl conif","conif","conif","not decid","pine","rp"
"026","Red pine","rp pole","Red pine","pole","pole","non-regen","upl","upl conif","upl conif","conif","conif","not decid","pine","rp"
"027","Red pine","rp saw","Red pine","saw","saw","non-regen","upl","upl conif","upl conif","conif","conif","not decid","pine","rp"
"028","Red pine","rp saw","Red pine","saw","saw","non-regen","upl","upl conif","upl conif","conif","conif","not decid","pine","rp"
"029","Red pine","rp saw","Red pine","saw","saw","non-regen","upl","upl conif","upl conif","conif","conif","not decid","pine","rp"
"036","White pine","wp","White pine/Hardwood","pole","pole","non-regen","upl","upl conif","upl conif","conif","conif","not decid","pine","wp"
"038","White pine","wp","White pine/Hardwood","saw","saw","non-regen","upl","upl conif","upl conif","conif","conif","not decid","pine","wp"
"039","White pine","wp","White pine/Hardwood","saw","saw","non-regen","upl","upl conif","upl conif","conif","conif","not decid","pine","wp"
"056","Hemlock","hem","Hemlock/Mixed","pole","pole","non-regen","upl","upl conif","upl conif","conif","conif","not decid","hem","hem"
"057","Hemlock","hem","Hemlock/Mixed","saw","saw","non-regen","upl","upl conif","upl conif","conif","conif","not decid","hem","hem"
"058","Hemlock","hem","Hemlock/Mixed","saw","saw","non-regen","upl","upl conif","upl conif","conif","conif","not decid","hem","hem"
