"forest","dist/cty","comp/trs","stand","standunique","site","X_COORD","Y_COORD","comment"
9030.00,9035.00,"21",8.00,266.00,63,385029.60,5216424.00,
9030.00,9035.00,"21",10.00,267.00,64,385677.60,5215495.00,
9030.00,9035.00,"21",10.00,267.00,65,385280.60,5215461.00,
9030.00,9035.00,"21",10.00,267.00,66,385434.80,5215621.00,
9030.00,9035.00,"21",21.00,269.00,67,384589.40,5214668.00,
9030.00,9035.00,"21",21.00,269.00,68,384598.10,5214467.00,
9030.00,9035.00,"21",21.00,269.00,69,384584.50,5214293.00,
9030.00,9035.00,"21",18.00,268.00,70,384443.60,5214482.00,
9030.00,9035.00,"21",18.00,268.00,71,384447.40,5214659.00,
9030.00,9035.00,"21",18.00,268.00,72,384214.00,5214661.00,
9030.00,9035.00,"12",1.00,246.00,73,382514.60,5220847.00,
9030.00,9035.00,"12",1.00,246.00,74,382558.70,5220994.00,
9030.00,9035.00,"12",34.00,248.00,75,382119.00,5221359.00,
9030.00,9035.00,"12",34.00,248.00,76,382098.80,5221157.00,
9030.00,9035.00,"12",34.00,248.00,77,382064.80,5220962.00,
9030.00,9035.00,"12",1.00,246.00,78,382425.40,5220660.00,
9030.00,9035.00,"12",2.00,247.00,79,382619.82,5220547.48,"new gps in 2001"
9030.00,9035.00,"12",2.00,247.00,80,382648.60,5220357.00,
9030.00,9035.00,"12",2.00,247.00,81,382807.30,5220416.00,
9030.00,9032.00,"100",20.00,162.00,82,383777.40,5238432.00,
9030.00,9032.00,"100",20.00,162.00,83,383616.60,5238179.00,
9030.00,9032.00,"100",20.00,162.00,84,383634.70,5237859.00,
9030.00,9032.00,"106",10.00,163.00,85,382810.40,5233116.00,
9030.00,9032.00,"106",10.00,163.00,86,382656.10,5232994.00,
9030.00,9032.00,"106",10.00,163.00,87,382528.40,5232863.00,
9030.00,9032.00,"106",17.00,164.00,88,382596.90,5232713.00,
9030.00,9032.00,"106",17.00,164.00,89,382772.70,5232792.00,
9030.00,9032.00,"106",17.00,164.00,90,382885.20,5232953.00,
9030.00,9032.00,"106",20.00,165.00,91,383543.30,5232919.00,
9030.00,9032.00,"106",20.00,165.00,92,383723.20,5233064.00,
9030.00,9032.00,"106",20.00,165.00,93,383908.50,5233129.00,
9030.00,9032.00,"110",10.00,172.00,94,380884.20,5227132.00,
9030.00,9032.00,"110",10.00,172.00,95,380958.10,5227233.00,
9030.00,9032.00,"110",10.00,172.00,96,381102.00,5227208.00,
9030.00,9032.00,"110",4.00,171.00,97,381318.70,5227189.00,
9030.00,9032.00,"110",4.00,171.00,98,381449.00,5227039.00,
9030.00,9032.00,"110",4.00,171.00,99,381541.80,5227225.00,
9030.00,9032.00,"110",31.00,177.00,100,382045.70,5227131.00,
9030.00,9032.00,"110",31.00,177.00,101,382014.10,5227320.00,
9030.00,9032.00,"110",31.00,177.00,102,382031.20,5227545.00,
9030.00,9032.00,"110",29.00,176.00,103,,,"no longer sampled - flooded"
9030.00,9032.00,"110",29.00,176.00,104,,,"no longer sampled - flooded"
9030.00,9032.00,"110",29.00,176.00,105,,,"no longer sampled - flooded"
9030.00,9032.00,"110",21.00,174.00,106,381184.80,5225322.00,
9030.00,9032.00,"110",21.00,174.00,107,381326.30,5225315.00,
9030.00,9032.00,"110",21.00,174.00,108,381461.50,5225448.00,
9030.00,9032.00,"110",23.00,175.00,109,381317.60,5225652.00,
9030.00,9032.00,"110",23.00,175.00,110,381546.60,5225760.00,
9030.00,9032.00,"110",23.00,175.00,111,381740.60,5225721.00,
9030.00,9032.00,"110",33.00,178.00,112,381836.60,5225906.00,
9030.00,9032.00,"110",33.00,178.00,113,381898.90,5226500.00,
9030.00,9032.00,"110",33.00,178.00,114,381423.30,5226284.00,
9030.00,9032.00,"110",18.00,173.00,115,381208.60,5226383.00,
9030.00,9032.00,"110",18.00,173.00,116,380651.80,5226073.00,
9030.00,9032.00,"110",18.00,173.00,117,380849.00,5226013.00,
9030.00,9035.00,"70",17.00,271.00,118,397238.40,5208678.00,
9030.00,9035.00,"70",17.00,271.00,119,397405.30,5208704.00,
9030.00,9035.00,"70",17.00,271.00,120,397530.90,5208615.00,
9030.00,9035.00,"70",18.00,272.00,121,397556.70,5208430.00,
9030.00,9035.00,"70",18.00,272.00,122,397505.70,5208285.00,
9030.00,9035.00,"70",18.00,272.00,123,397685.50,5208258.00,
9030.00,9035.00,"70",33.00,273.00,124,396502.10,5207649.00,
9030.00,9035.00,"70",33.00,273.00,125,396679.80,5207717.00,
9030.00,9035.00,"70",33.00,273.00,126,396491.50,5207462.00,
9030.00,9035.00,"70",11.00,270.00,127,399487.50,5206831.00,
9030.00,9035.00,"70",11.00,270.00,128,399299.40,5206802.00,
9030.00,9035.00,"70",11.00,270.00,129,399104.00,5206805.00,
9030.00,9035.00,"177",4.00,259.00,130,427805.60,5211694.00,
9030.00,9035.00,"177",4.00,259.00,131,428024.30,5211481.00,
9030.00,9035.00,"177",4.00,259.00,132,427855.30,5211528.00,
9030.00,9035.00,"177",3.00,258.00,133,428198.00,5211464.00,
9030.00,9035.00,"177",3.00,258.00,134,428305.80,5211343.00,
9030.00,9035.00,"177",3.00,258.00,135,428408.40,5211206.00,
9030.00,9035.00,"177",5.00,260.00,136,427060.60,5211054.00,
9030.00,9035.00,"177",5.00,260.00,137,427016.70,5210834.00,
9030.00,9035.00,"177",5.00,260.00,138,426929.30,5210613.00,
9030.00,9035.00,"177",9.00,261.00,139,427057.20,5209877.00,
9030.00,9035.00,"177",9.00,261.00,140,427192.90,5209977.00,
9030.00,9035.00,"177",9.00,261.00,141,427362.70,5209963.00,
9030.00,9035.00,"158",25.00,256.00,143,420200.80,5214941.00,
9030.00,9035.00,"158",25.00,256.00,144,420219.80,5215144.00,
9030.00,9035.00,"158",42.00,257.00,145,419437.50,5215265.00,
9030.00,9035.00,"158",42.00,257.00,146,419620.50,5215070.00,
9030.00,9035.00,"158",42.00,257.00,147,419448.40,5215442.00,
9030.00,9035.00,"158",25.00,256.00,148,420357.50,5215361.00,
9030.00,9035.00,"158",16.00,255.00,149,,,"flooded"
9030.00,9035.00,"158",16.00,255.00,150,,,"flooded"
9030.00,9035.00,"158",16.00,255.00,151,,,"flooded"
9030.00,9035.00,"158",9.00,254.00,152,419504.00,5217200.00,
9030.00,9035.00,"158",9.00,254.00,153,419646.80,5217161.00,
9030.00,9035.00,"158",9.00,254.00,154,419837.50,5217143.00,
9030.00,9033.00,"289",7.00,201.00,155,418661.40,5267527.00,
9030.00,9033.00,"289",7.00,201.00,156,418656.60,5267677.00,
9030.00,9033.00,"289",7.00,201.00,157,418530.60,5267814.00,
9030.00,9033.00,"289",39.00,203.00,158,418598.70,5267283.00,
9030.00,9033.00,"289",39.00,203.00,159,418484.20,5267091.00,
9030.00,9033.00,"289",39.00,203.00,160,418305.90,5266957.00,
9030.00,9033.00,"289",50.00,204.00,161,418885.10,5266048.00,
9030.00,9033.00,"289",50.00,204.00,162,419053.40,5265872.00,
9030.00,9033.00,"289",50.00,204.00,163,419171.00,5265762.00,
9030.00,9033.00,"289",27.00,202.00,164,419081.10,5267694.00,
9030.00,9033.00,"289",27.00,202.00,165,418883.70,5267897.00,
9030.00,9033.00,"289",27.00,202.00,166,419040.70,5267807.00,
9030.00,9033.00,"289",6.00,200.00,167,418446.70,5268514.00,
9030.00,9033.00,"289",6.00,200.00,168,418549.00,5268353.00,
9030.00,9033.00,"289",6.00,200.00,169,418325.80,5268700.00,
9030.00,9033.00,"63",7.00,219.00,170,416880.20,5264324.00,
9030.00,9033.00,"63",7.00,219.00,171,417001.60,5264571.00,
9030.00,9033.00,"63",7.00,219.00,172,416764.20,5264689.00,
9030.00,9033.00,"63",6.00,218.00,173,416734.40,5264019.00,
9030.00,9033.00,"63",6.00,218.00,174,416617.50,5264171.00,
9030.00,9033.00,"63",6.00,218.00,175,416598.40,5264392.00,
9030.00,9033.00,"63",8.00,220.00,176,416927.90,5263934.00,
9030.00,9033.00,"63",8.00,220.00,177,416934.70,5263702.00,
9030.00,9033.00,"63",8.00,220.00,178,416930.40,5263484.00,
9030.00,9033.00,"63",21.00,221.00,179,415024.21,5264234.05,"new gps in 2001"
9030.00,9033.00,"63",21.00,221.00,180,414949.25,5264050.88,"new gps in 2001"
9030.00,9033.00,"63",21.00,221.00,181,414919.24,5263820.55,"new gps in 2001"
9030.00,9035.00,"8",32.00,277.00,182,382476.30,5222548.00,
9030.00,9035.00,"8",32.00,277.00,183,382583.60,5222417.00,
9030.00,9035.00,"8",32.00,277.00,184,382579.90,5222599.00,
9030.00,9035.00,"8",17.00,274.00,185,382564.60,5222813.00,
