forest,dist/cty,comp/trs,Site,year,logged,type of cut,in site table?,in drop table?,% cleared,veg done?,comments
9090,9095,,509,2008,1,clearcut,,,,,
9090,9096,,696,2011,1,clearcut,,,,,
9090,9096,,697,2011,1,clearcut,,,,,
9090,9096,,697,2011,1,clearcut,,,,,
9090,9096,,692,2011,1,clearcut,,,,,
9090,9096,,604,2011,1,clearcut,,,,,
9090,9096,,680,2011,1,clearcut,,,,,
9030,9031,48,293,2007,1,partial cut,,,,,
9030,9031,48,294,2007,1,partial cut,,,,,
9030,9031,48,295,2007,1,partial cut,,,,,
9030,9031,48,296,2007,1,partial cut,,,,,
9030,9031,48,297,2007,1,partial cut,,,,,
9030,9031,48,298,2007,1,partial cut,,,,,
9030,9031,48,299,2007,1,partial cut,,,,,
9030,9034,69,10,2007,1,partial cut,,,,,
9030,9034,69,12,2007,1,partial cut,,,,,
9090,9096,130,778,2007,1,clearcut,,,,,
9090,9096,130,780,2005,1,partial cut,,,,,
9090,9096,130,781,2005,1,partial cut,,,,,
9090,9095,103,496,2008,1,clearcut,,,,,
9030,9032,112,202,2008,1,clearcut,,,,,
9030,9031,281,262,2010,1,clearcut,,,,,
9090,9096,110,602,2012,1,,,,,,
9090,9096,110,604,2012,1,,,,,,
9090,9096,62,680,2012,1,,,,,,
9090,9096,109,696,2012,1,,,,,,
9090,9096,130,778,2012,1,,,,,,
9090,9096,96,3007,2012,1,,,,,,
9090,9095,92,446,2012,1,,,,,,
9090,9095,92,448,2012,1,,,,,,
9090,9095,146,467,2009,1,,,,,,
9090,9095,12,509,2009,1,,,,,,
9090,9095,12,510,2009,1,,,,,,
9090,9095,90,803,2012,1,,,,,,All on the edge of a clear cut.
9090,9095,90,804,2012,1,,,,,,All on the edge of a clear cut.
9090,9095,90,806,2012,1,,,,,,All on the edge of a clear cut.
9030,9034,69,3,2012,1,,,,,,
9030,9035,103,31,2012,1,clearcut,,,,,Clearcut
9030,9035,103,32,2012,1,near clearcut,,,,,Near Clearcut
9030,9035,103,33,2012,1,clearcut,,,,,Clearcut
9030,9031,282,249,2012,1,clearcut,,,,,Clearcut
9030,9031,282,250,2012,1,clearcut,,,,,Clearcut
9030,9035,103,40,2013,1,clearcut,,,,,
9030,9035,103,44,2013,1,clearcut,,,,,
9030,9031,282,245,2013,1,clearcut,,,,,
9030,9031,281,261,2013,1,,,,,,
9090,9097,86,843,2013,1,,,,,,
9020,9021,53,1532,2002,1,select cut,,,,x,
9020,9021,53,1533,2002,1,select cut,,,,x,
9020,9021,53,1534,2002,1,select cut,,,,x,
9020,9021,106,1416,1996,1,clearcut,x,x,,x,
9020,9021,106,1417,1996,1,clearcut,x,x,,x,
9020,9021,106,1418,1998,1,partial cut,x,x,,x,
9020,9022,64,1063,1995,1,partial cut,x,,,,
9020,9022,86,1146,1995,1,select cut,x,,,,
9020,9022,86,1508,1995,1,select cut,x,,,,
9020,9022,86,1509,1995,1,select cut,x,,,,
9020,9022,86,1510,1995,1,select cut,x,,,,
9020,9024,64,1051,2001?,1,partial cut,,,20,,lawn-new house
9020,9023,124,1196,1995,1,select cut,x,,,,
9020,9023,126,1647,1997,1,select cut,x,,,,
9020,9023,132,1630,2005,1,partial cut,,,,,
9020,9023,133,1619,2003,1,clearcut,,,,,
9020,9023,133,1620,2003,1,clearcut,,,,,
9020,9024,108,1037,1998,1,select cut,x,x,,x,
9020,9024,139,1073,2002,1,clearcut,,,,,
9020,9024,139,1074,2002,1,clearcut,,,,,
9020,9024,139,1075,2002,1,clearcut,,,,,
9020,9024,139,1076,2002,1,clearcut,,,,,
9020,9024,139,1077,2002,1,partial cut,,,,,
9020,9025,63,1013,1999,1,select cut,x,,,x,
9020,9025,63,1014,1999,1,select cut,x,,,x,
9020,9025,63,1015,1999,1,select cut,x,,,x,
9020,9025,64,1021,2001,1,select cut,x,,,x,
9020,9025,64,1022,2000,1,select cut,x,,,x,
9020,9025,64,1022,2001,1,select cut,x,,,x,
9020,9025,64,1023,2000,1,select cut,x,,,x,
9020,9025,64,1024,2000,1,select cut,x,,,x,
9020,9025,89,932,1997,1,select cut,x,,,x,
9020,9025,89,933,1997,1,select cut,x,,,x,
9020,9025,92,1004,1996,1,partial cut,x,,,x,
9020,9025,92,1005,1996,1,partial cut,x,,,x,
9020,9025,92,1006,1996,1,partial cut,x,,,,
9020,9025,92,1007,1997,1,partial cut,x,,,x,
9020,9025,92,1008,1997,1,clearcut,x,,,x,
9020,9025,92,1009,1997,1,clearcut,x,x,,x,
9020,9025,92,1010,1998,1,partial cut,x,x,,,
9020,9025,92,1011,1998,1,partial cut,x,x,,,
9020,9025,94,917,2001,1,select cut,x,,,x,
9020,9025,208,959,1995,1,clearcut,x,x,,,
9020,9025,208,960,1995,1,clearcut,x,x,,,
9020,9025,227,1183,2003,1,clearcut,,,,,
9020,9025,227,1184,2003,1,clearcut,,,,,
9020,9025,227,1185,2003,1,clearcut,,,,,
9030,9031,47,239,1996,1,clearcut,x,x,,,
9030,9031,47,240,1996,1,clearcut,x,x,,,
9030,9031,47,241,1996,1,clearcut,x,x,,,
9030,9031,48,292,1999,1,partial cut,x,,,,
9030,9031,48,293,1999,1,partial cut,x,,,,
9030,9031,48,294,1999,1,clearcut,x,,,,
9030,9031,48,295,1996,1,select cut,x,x,,,
9030,9031,48,296,1996,1,select cut,x,x,,,
9030,9031,48,297,1996,1,select cut,x,x,,,
9030,9031,48,298,1996,1,clearcut,x,x,,,
9030,9031,48,299,1995,1,partial cut,x,x,,,
9030,9031,282,246,1997,1,partial cut,x,,,,
9030,9031,282,248,1997,1,clearcut,x,,,,
9030,9031,282,249,1997,1,partial cut,x,,,,
9030,9032,10,314,1996,1,clearcut,x,x,,,
9030,9032,10,315,1996,1,clearcut,x,x,,,
9030,9032,16,206,1998,1,select cut,x,x,,,
9030,9032,16,207,1999,1,select cut,x,,,,
9030,9032,16,208,1994,1,partial cut,x,,,,
9030,9032,16,209,1999,1,select cut,x,,,,
9030,9032,16,210,1995,1,partial cut,x,,,,
9030,9032,16,211,1999,1,select cut,x,,,,
9030,9032,16,212,1999,1,select cut,x,,,,
9030,9032,16,213,1998,1,select cut,x,x,,,
9030,9032,16,214,1998,1,select cut,x,x,,,
9030,9032,16,215,1999,1,select cut,x,,,,
9030,9032,16,216,1999,1,select cut,x,,,,
9030,9032,16,217,1999,1,select cut,x,,,,
9030,9032,16,218,1995,1,select cut,x,x,,,
9030,9032,16,219,1999,1,partial cut,x,,,,
9030,9032,16,220,1999,1,partial cut,x,,,,
9030,9032,16,221,1997,1,partial cut,x,,,,
9030,9032,16,222,1997,1,clearcut,x,,,,
9030,9032,16,227,1998,1,clearcut,x,,,,
9030,9032,16,228,1993,1,clearcut,x,x,,x,
9030,9032,16,229,1993,1,clearcut,x,x,,x,
9030,9032,16,3030,1996,1,select cut,x,,,,
9030,9032,16,3031,1996,1,select cut,x,,,,
9030,9032,16,3032,1996,1,clearcut,x,,,,
9030,9032,110,100,1995,1,clearcut,x,x,,,
9030,9032,110,101,1995,1,clearcut,x,x,,,
9030,9032,110,114,1994,1,clearcut,x,x,,x,
9030,9032,112,199,1995,1,partial cut,x,,,,
9030,9032,112,200,1995,1,partial cut,x,,,,
9030,9032,112,197,2005,1,select cut,x,,,,
9030,9032,112,198,2005,1,select cut,x,,,,
9030,9032,112,199,2005,1,select cut,x,,,,
9030,9032,112,200,2005,1,select cut,x,,,,
9030,9032,112,201,2005,1,select cut,x,,,,
9030,9032,112,202,2005,1,select cut,x,,,,
9030,9033,167,368,2001,1,partial cut,x,,,,
9030,9033,167,369,2001,1,clearcut,x,,,,
9030,9033,167,370,2001,1,clearcut,x,,,,
9030,9034,69,4,1998,1,select cut,x,x,,,
9030,9034,69,5,1998,1,partial cut,x,x,,,
9030,9034,69,6,1998,1,clearcut,x,x,,,
9030,9034,69,7,1998,1,partial cut,x,x,,,
9030,9034,120,276,1997,1,partial cut,x,,,,
9030,9034,120,277,1997,1,partial cut,x,,,,
9030,9034,120,279,1995,1,partial cut,x,,,,
9030,9034,120,280,1995,1,clearcut,x,,,,
9030,9035,93,49,2003,1,partial cut,,,,,
9030,9035,93,50,2003,1,partial cut,,,,,
9030,9035,93,51,2003,1,partial cut,,,70,,
9030,9035,93,52,2003,1,partial cut,,,80,,
9030,9035,93,53,2003,1,partial cut,,,60,,
9030,9035,93,54,2003,1,partial cut,,,,,
9030,9035,103,32,2001,1,partial cut,x,,,,
9030,9035,103,33,2001,1,partial cut,x,,,,
9030,9035,103,45,2001,1,clearcut,x,,,,
9040,9041,115,1485,1996,1,partial cut,x,,,,
9040,9041,115,1486,1998,1,select cut,x,,,,
9040,9041,115,1487,1998,1,select cut,x,,,,
9040,9041,266,1667,1998,1,select cut,x,,,,
9040,9042,18,1697,1997,1,partial cut,x,,,,
9040,9042,18,1698,1997,1,partial cut,x,x,,,
9040,9042,18,1699,1996,1,clearcut,x,,,,
9040,9042,365,1248,1995,1,clearcut,x,,,,
9040,9042,365,1249,1995,1,clearcut,x,,,,
9040,9042,365,1250,1995,1,clearcut,x,,,,
9040,9042,382,1447,2002,1,partial cut,x,,,,
9040,9042,382,1448,2002,1,partial cut,x,,,,
9040,9042,382,1449,2002,1,partial cut,x,,,,
9040,9043,378,1433,2000,1,select cut,x,,,,
9040,9043,378,1434,2000,1,select cut,x,,,,
9040,9043,378,1435,2000,1,select cut,x,,,,
9090,9095,3,788,2002,1,partial cut,x,,60,,
9090,9095,3,789,2002,1,clearcut,x,,100,,
9090,9095,12,509,2004,1,clearcut,x,,,,
9090,9095,12,510,2004,1,clearcut,x,,,x,
9090,9095,12,515,2005,1,partial cut,x,,,x,
9090,9095,12,517,2005,1,partial cut,x,,,x,
9090,9095,90,806,2001,1,select cut,x,,,,
9090,9095,90,807,2001,1,select cut,x,,,,
9090,9095,90,808,2001,1,select cut,,,,,
9090,9095,92,448,2004,1,select cut,,,,,
9090,9095,97,810,1998,1,partial cut,x,x,,,
9090,9095,126,497,1999,1,select cut,x,,,,
9090,9095,144,449,1998,1,partial cut,x,,,,
9090,9095,144,455,1997,1,clearcut,x,,,,
9090,9095,144,456,1997,1,clearcut,x,,,,
9090,9095,144,457,1999,1,clearcut,x,,,,
9090,9095,146,470,1999,1,clearcut,x,,,,
9090,9095,146,471,1999,1,clearcut,x,,,,
9090,9095,146,472,1999,1,clearcut,x,,,,
9090,9096,32,3023,2005,1,partial cut,,,30,,
9090,9096,44,626,1992,1,clearcut,x,x,,x,
9090,9096,44,627,1992,1,clearcut,x,x,,x,
9090,9096,44,628,1992,1,clearcut,x,x,,x,
9090,9096,44,630,1992,1,partial cut,x,,,x,
9090,9096,44,631,1992,1,clearcut,x,x,,x,
9090,9096,44,632,1992,1,clearcut,x,x,,x,
9090,9096,51,710,1993,1,clearcut,x,x,,x,
9090,9096,51,711,1993,1,partial cut,x,x,,x,
9090,9096,51,712,1993,1,partial cut,x,,,x,
9090,9096,51,713,1993,1,clearcut,x,x,,x,
9090,9096,51,715,1995,1,clearcut,x,x,,x,
9090,9096,92,567,2001,1,partial cut,x,,,,
9090,9096,92,568,2001,1,clearcut,x,,,x,
9090,9096,92,569,2001,1,partial cut,x,,,,
9090,9096,92,570,2001,1,clearcut,x,,,x,
9090,9096,92,571,2001,1,clearcut,x,,,x,
9090,9096,92,572,2001,1,clearcut,x,,,x,
9090,9096,92,573,2001,1,clearcut,x,,,x,
9090,9096,92,574,2001,1,clearcut,x,,,x,
9090,9096,96,588,1993,1,clearcut,x,x,,x,
9090,9096,96,3006,1997,1,partial cut,x,,,x,
9090,9096,96,3007,1997,1,clearcut,x,,,x,
9090,9096,96,3008,1997,1,clearcut,x,,,x,
9090,9096,97,601,1996,1,clearcut,x,x,,,
9090,9096,109,688,1996,1,partial cut,x,,,,
9090,9096,109,692,1996,1,clearcut,x,x,,,
9090,9096,109,693,1996,1,partial cut,x,,,,
9090,9096,109,694,1996,1,clearcut,x,x,,,
9090,9096,109,695,2005,1,select cut,x,,,,
9090,9096,109,697,1999,1,partial cut,x,,,,
9090,9096,109,697,2005,1,partial cut,x,,30,,
9090,9096,110,603,1998,1,clearcut,x,x,,x,
9090,9096,110,605,1998,1,clearcut,x,x,,x,
9090,9096,110,606,1998,1,clearcut,x,x,,x,
9090,9096,110,607,1998,1,clearcut,x,x,,x,
9090,9096,130,772,1994,1,partial cut,x,x,,x,
9090,9096,130,773,1994,1,partial cut,x,,,x,
9090,9096,130,774,1994,1,partial cut,x,x,,x,
9090,9096,130,776,1996,1,clearcut,x,x,,x,
9090,9096,130,777,1996,1,partial cut,x,x,,x,
9090,9096,130,778,2006,1,partial cut,,,15,,
9090,9096,130,779,2006,1,partial cut,,,10,,
9090,9096,130,780,2006,1,partial cut,,,35,,
9090,9096,130,781,2006,1,partial cut,,,70,,
9090,9096,130,3012,2000,1,select cut,x,,,,
9090,9096,130,3013,2000,1,select cut,x,,,,
9090,9096,203,746,1996,1,partial cut,x,x,,x,
9090,9096,203,747,1997,1,partial cut,x,,,x,
9090,9096,203,748,1997,1,partial cut,x,,,x,
9090,9096,203,749,1996,1,partial cut,x,x,,x,
9090,9096,203,750,1996,1,clearcut,x,x,,x,
9090,9096,203,751,1996,1,clearcut,x,x,,x,
9090,9096,203,752,1998,1,partial cut,x,,,x,
9090,9096,203,755,1997,1,clearcut,x,,,x,
9090,9096,203,756,1997,1,partial cut,x,,,,
9090,9096,203,757,1997,1,clearcut,x,,,x,
9090,9096,204,738,2003,1,select cut,,,,,
9090,9096,208,758,1996,1,clearcut,x,x,,,
9090,9096,208,759,1996,1,clearcut,x,x,,,
9090,9097,69,544,1996,1,clearcut,x,,,,
9090,9097,86,842,1998,1,partial cut,x,,,x,
9090,9097,86,843,1998,1,partial cut,x,,,x,
9090,9097,86,844,1998,1,clearcut,x,x,,x,
9099,55,,2112,2001,1,select cut,x,,,,
9099,55,,2113,2001,1,select cut,x,,,,
9099,55,,2114,2001,1,select cut,x,,,,
