"nrricode","common","scientific","abbrev","bbsaou","taxorder"
2,"Red-necked Grebe","Podiceps grisegena","RNGR","0020",160
4,"Eared Grebe","Podiceps nigricollis","EAGR","0040",161
6,"Pied-billed Grebe","Podilymbus podiceps","PBGR","0060",157
7,"Common Loon","Gavia immer","COLO","0070",152
11,"Red-throated Loon","Gavia stellata","RTLO","0110",149
51,"Herring Gull","Larus argentatus","HERG","0510",550
54,"Ring-billed Gull","Larus delawarensis","RBGU","0540",548
59,"Franklin's Gull","Larus pipixcan","FRGU","0590",538
60,"Bonaparte's Gull","Larus philadelphia","BOGU",,541
64,"Caspian Tern","Sterna caspia","CATE","0640",569
69,"Forster's Tern","Sterna forsteri","FOTE","0690",577
70,"Common Tern","Sterna hirundo","COTE","0700",575
77,"Black Tern","Chlidonias niger","BLTE","0770",588
120,"Double-crested Cormorant","Phalacrocorax auritus","DCCO","1200",241
125,"American White Pelican","Pelecanus erythrorhynchos","AWPE","1250",236
129,"Common Merganser","Mergus merganser","COME","1290",78
130,"Red-breasted Merganser","Mergus serrator","RBME","1300",79
131,"Hooded Merganser","Lophodytes cucullatus","HOME","1310",77
132,"Mallard","Anas platyrhynchos","MALL","1320",43
133,"American Black Duck","Anas rubripes","ABDU","1330",42
135,"Gadwall","Anas strepera","GADW","1350",38
137,"American Wigeon","Anas americana","AMWI","1370",41
139,"Green-winged Teal","Anas crecca","AGWT","1390",55
140,"Blue-winged Teal","Anas discors","BWTE","1400",48
142,"Northern Shoveler","Anas clypeata","NSHO","1420",50
143,"Northern Pintail","Anas acuta","NOPI","1430",52
144,"Wood Duck","Aix sponsa","WODU","1440",37
146,"Redhead","Aythya americana","REDH","1460",57
147,"Canvasback","Aythya valisineria","CANV","1470",56
148,"Greater Scaup","Aythya marila","GRSC","1480",61
149,"Lesser Scaup","Aythya affinis","LESC","1490",62
150,"Ring-necked Duck","Aythya collaris","RNDU","1500",59
151,"Common Goldeneye","Bucephala clangula","COGO","1510",74
153,"Bufflehead","Bucephala albeola","BUFF","1530",73
167,"Ruddy Duck","Oxyura jamaicensis","RUDU","1670",81
172,"Canada Goose","Branta canadensis","CAGO","1720",24
179,"Mute Swan",,"MUSW",,0
180,"Tundra Swan (Whistling)","Cygnus columbianus","WHSW","1800",30
181,"Trumpeter Swan","Cygnus buccinator","TRUS","0181",29
190,"American Bittern","Botaurus lentiginosus","AMBI","1900",254
191,"Least Bittern","Ixobrychus exilis","LEBI","1910",256
194,"Great Blue Heron","Ardea herodias","GBHE","1940",260
