"standunique","fstype_prefix","stock","age"
1.00,"85","9",53
2.00,"71","6",55
3.00,"68",,
4.00,"68",,
5.00,"91","6",46
6.00,"66","6",
7.00,"91","9",61
8.00,"62","2",
9.00,"62","1",
10.00,"91","6",41
11.00,"66","1",
12.00,"85",,77
13.00,"18","9",104
14.00,"5","9",102
15.00,"5","9",112
16.00,"14","9",139
17.00,"82","5",4
18.00,"81",,
19.00,"82","6",72
20.00,"62","3",
21.00,"82","6",82
22.00,"82","6",82
23.00,"2","9",55
24.00,"66","6",
25.00,"2","9",59
26.00,"66",,
27.00,"2","6",46
28.00,"91","6",42
29.00,"91","6",65
30.00,"14","6",92
31.00,"14","6",122
32.00,"11","6",62
33.00,"85","6",85
34.00,"14","6",97
35.00,"18","6",103
36.00,"14","6",96
37.00,"71","6",127
38.00,"62",,
39.00,"85","9",119
40.00,"18","6",69
41.00,"82","6",72
42.00,"85","6",62
43.00,"71","6",85
44.00,"91","6",72
45.00,"62","6",
46.00,"71","6",75
47.00,"82",,52
48.00,"92","6",56
49.00,"85","6",63
50.00,"14","6",113
52.00,"14","5",72
53.00,"71","6",173
54.00,"85","9",63
55.00,"82","6",2
56.00,"92","6",68
57.00,"15","6",115
58.00,"82","9",85
59.00,"81","9",110
60.00,"81","9",116
61.00,"5","9",146
62.00,"82","9",1
63.00,"82","6",81
64.00,"82","6",102
65.00,"5","9",119
66.00,"82","6",78
67.00,"99","0",
68.00,"5","9",120
69.00,"82","6",104
70.00,"71","3",118
71.00,"85",,67
72.00,"18",,82
73.00,"82","6",77
74.00,"2","9",53
75.00,"99","0",
76.00,"71","6",132
77.00,"82","6",92
78.00,"5","9",92
79.00,"82","6",92
80.00,"81",,1
81.00,"55","6",65
82.00,"55","8",42
83.00,"55","6",76
84.00,"55","6",64
85.00,"18",,121
86.00,"18","9",148
87.00,"11","9",61
88.00,"11","9",61
89.00,"68",,
90.00,"3",,78
91.00,"85","9",68
92.00,"55","9",68
93.00,"82","6",76
94.00,"82","6",70
95.00,"82","6",62
96.00,"55","6",61
101.00,"2","3",15
102.00,"1","3",6
103.00,"2","3",19
104.00,"1","8",70
105.00,"98","0",
106.00,"98","0",
107.00,"98","0",
108.00,"98","0",
109.00,"98",,
110.00,"98","0",
111.00,"98","0",
112.00,"98","0",
113.00,"98","0",
114.00,"85","6",72
115.00,"85","6",92
116.00,"66",,
117.00,"82",,52
140.00,"71","9",95
141.00,"71","9",120
142.00,"71","9",95
143.00,"71","9",95
144.00,"71","6",70
145.00,"71","9",70
146.00,"71","5",65
147.00,"71","6",70
148.00,"91","6",3
149.00,"91","6",45
150.00,"12","3",56
151.00,"12","3",96
161.00,"82","9",59
162.00,"2","9",153
163.00,"3","9",108
164.00,"3","9",108
165.00,"3","8",110
166.00,"92","5",67
167.00,"12","1",72
168.00,"11","9",0
169.00,"2","9",84
170.00,"91","9",0
171.00,"92","6",75
172.00,"91","9",65
173.00,"55","9",85
174.00,"55","9",85
175.00,"92","9",78
176.00,"15","6",52
177.00,"91","9",80
178.00,"91","9",80
179.00,"1","6",55
180.00,"1","9",55
181.00,"1","6",55
182.00,"1","1",56
183.00,"91","6",62
184.00,"1","6",55
186.00,"1","6",55
187.00,"1","6",55
188.00,"1","6",55
189.00,"1","6",55
190.00,"1","6",55
191.00,"1","6",55
192.00,"15","2",63
193.00,"91","6",46
194.00,"91","6",45
195.00,"15","1",41
200.00,"2","9",119
201.00,"2","9",78
202.00,"2","9",78
203.00,"2","9",80
204.00,"2","9",80
205.00,"91","6",42
206.00,"2","9",69
207.00,"2","9",69
208.00,"87","9",90
209.00,"12","5",52
210.00,"82","9",71
211.00,"91","9",67
212.00,"82","8",133
213.00,"82","8",124
214.00,"14","6",81
215.00,"12","6",93
216.00,"15","6",100
218.00,"2","9",77
219.00,"2","9",77
220.00,"2","9",87
221.00,"2","9",97
222.00,"12","6",156
223.00,"12","3",68
224.00,"12","4",97
225.00,"14","6",107
226.00,"12","6",111
227.00,"18","5",111
228.00,"71","5",65
229.00,"18","6",101
230.00,"18","6",101
231.00,"14","6",96
232.00,"18","6",110
233.00,"18","6",94
234.00,"1","6",57
235.00,"2","9",70
236.00,"2","6",100
237.00,"1","6",46
238.00,"18","6",90
239.00,"18","6",90
240.00,"91","6",60
241.00,"91","6",60
242.00,"71","6",60
243.00,"38","2",68
244.00,"38","3",2
245.00,"55","6",53
246.00,"3","9",94
247.00,"91","6",0
248.00,"2","9",88
249.00,"55","9",79
250.00,"12","6",103
251.00,"18","5",90
252.00,"14","5",90
253.00,"14","5",83
254.00,"91","9",3
255.00,"18","5",58
256.00,"55","9",60
257.00,"91","9",3
258.00,"12","2",83
259.00,"15","6",74
260.00,"18","6",65
261.00,"12","6",120
262.00,"15","6",100
263.00,"82","9",110
264.00,"12","2",31
265.00,"15","5",74
266.00,"55","9",60
267.00,"55","6",64
268.00,"16","1",3
269.00,"91","9",64
270.00,"92","6",60
271.00,"91","3",3
272.00,"92","6",53
273.00,"92","6",52
274.00,"91","6",55
275.00,"2","7",90
276.00,"71","8",98
277.00,"2","7",90
278.00,"55","6",59
279.00,"92","6",60
280.00,"55","6",63
281.00,"91","6",54
342.00,"95","8",69
343.00,"91","3",3
344.00,"91","9",51
345.00,"91","9",98
346.00,"91","3",4
347.00,"91","9",103
348.00,"91","9",88
349.00,"91","6",86
350.00,"91","9",86
351.00,"92","6",60
352.00,"92","6",59
353.00,"91","6",56
354.00,"2","9",85
355.00,"2","9",79
356.00,"2","9",85
357.00,"2","9",85
358.00,"91","9",86
359.00,"91","1",1
360.00,"91","3",4
361.00,"91","3",4
363.00,"91","3",12
364.00,"91","9",104
365.00,"91","6",50
366.00,"91","9",74
367.00,"92","6",77
368.00,"91","6",80
369.00,"91","9",69
370.00,"91","6",85
372.00,"3","3",4
373.00,"16","3",5
374.00,"16","3",5
375.00,"1","3",5
376.00,"91","1",4
377.00,"91","1",5
378.00,"1","1",5
379.00,"91","3",4
380.00,"92","9",71
381.00,"17","3",16
384.00,"1","6",47
385.00,"1","6",46
386.00,"1","6",51
387.00,"1","6",49
388.00,"16","3",20
389.00,"1","3",13
390.00,"17","3",3
391.00,"1","3",3
392.00,"91","6",63
393.00,"92","6",59
394.00,"1","7",71
395.00,"91","6",81
396.00,"91","1",2
397.00,"93","6",66
398.00,"91","6",66
399.00,"91","6",76
400.00,"91","6",71
401.00,"91","9",91
402.00,"91","9",91
404.00,"95","8",101
405.00,"91","6",81
406.00,"91","6",74
407.00,"91","6",67
408.00,"91","9",71
409.00,"91","6",71
410.00,"91","6",66
411.00,"91","9",71
412.00,"91","9",71
413.00,"94","6",71
414.00,"2","3",9
415.00,"91","3",9
416.00,"91","3",9
417.00,"91","3",9
418.00,"91","6",76
419.00,"91","3",8
421.00,"2","3",9
422.00,"91","3",6
423.00,"91","3",14
424.00,"91","3",14
425.00,"2","1",2
426.00,"91","3",4
427.00,"1","3",13
428.00,"1","3",13
429.00,"91","3",13
430.00,"91","9",91
431.00,"1","3",14
432.00,"2","9",79
433.00,"91","8",91
436.00,"1","6",90
437.00,"2","8",71
438.00,"2","6",86
439.00,"1","6",81
440.00,"1","9",88
441.00,"91","6",73
442.00,"1","8",91
443.00,"92","6",86
444.00,"92","6",61
445.00,"1","1",4
446.00,"92","6",71
447.00,"91","9",76
448.00,"1","3",16
449.00,"1","2",14
450.00,"2","2",15
451.00,"2","2",16
452.00,"1","9",79
453.00,"91","6",79
454.00,"1","9",79
455.00,"91","6",71
456.00,"1","6",83
458.00,"91","9",60
459.00,"91","6",81
460.00,"1","6",86
461.00,"91","6",66
462.00,"95","1",5
463.00,"3","7",101
464.00,"91","6",66
465.00,"18","9",143
466.00,"1","1",7
467.00,"1","2",5
468.00,"81","8",71
469.00,"18","9",141
470.00,"85","9",71
471.00,"85","5",58
472.00,"85","9",118
473.00,"14","9",171
474.00,"14","9",165
475.00,"14","9",165
476.00,"81","9",91
477.00,"85","6",71
478.00,"18","6",87
479.00,"11","9",67
480.00,"18","6",87
482.00,"12","6",122
484.00,"12","6",108
485.00,"12","9",127
486.00,"12","6",110
488.00,"11","6",71
490.00,"11","9",71
491.00,"11","8",66
492.00,"11","9",113
493.00,"2","3",9
494.00,"18","6",82
495.00,"14","6",172
496.00,"2","2",7
497.00,"11","6",61
498.00,"92","6",51
499.00,"11","6",61
500.00,"11","6",61
501.00,"18","9",65
502.00,"91","2",15
503.00,"91","2",6
504.00,"14","9",101
505.00,"14","9",147
506.00,"18","6",117
507.00,"91","3",13
508.00,"18","9",107
509.00,"95","6",51
510.00,"91","3",11
511.00,"95","3",11
512.00,"91","3",11
513.00,"11","6",85
514.00,"11","6",81
515.00,"11","6",65
516.00,"11","6",91
517.00,"11","6",63
518.00,"14","9",109
519.00,"12","6",105
520.00,"91","3",4
