"site","x_coord","y_coord"
239.00,389302.84,5280007.00
236.00,390066.37,5279175.00
235.00,390003.12,5279364.00
234.00,389967.62,5279533.50
238.00,389707.06,5279593.50
300.00,388538.93,5280155.50
299.00,388399.96,5280057.00
298.00,388371.53,5280181.50
297.00,388125.12,5280277.50
296.00,388105.78,5280118.00
295.00,387972.31,5280226.50
257.00,406991.65,5264393.50
258.00,407080.31,5264540.50
259.00,407242.87,5264594.50
261.00,406589.12,5264007.50
266.00,408066.68,5262636.00
267.00,408149.03,5262494.00
268.00,408216.21,5262305.00
245.00,408390.56,5264963.00
246.00,408360.25,5264689.50
247.00,408422.28,5264528.00
248.00,408555.15,5264409.50
249.00,408735.46,5264390.00
250.00,408979.28,5264335.00
255.00,408762.53,5264949.50
256.00,408578.12,5265007.00
304.00,395820.59,5258540.50
305.00,395889.96,5258394.00
306.00,396045.25,5258186.50
307.00,396131.25,5258028.00
308.00,396204.71,5257898.00
309.00,396305.21,5257812.00
311.00,396572.81,5257718.50
310.00,396457.50,5257792.50
312.00,396569.46,5257550.00
313.00,396723.25,5257391.50
314.00,396799.03,5257019.00
315.00,396746.18,5256864.50
325.00,394625.03,5256732.50
326.00,394730.53,5256824.00
327.00,394836.93,5256741.00
318.00,397171.90,5256918.50
317.00,397443.06,5257028.50
207.00,395845.43,5252843.00
206.00,395908.96,5253050.50
208.00,395724.84,5252694.50
209.00,395834.65,5252513.50
210.00,395864.75,5252382.50
211.00,396080.00,5252342.00
218.00,397391.90,5252756.50
219.00,397430.87,5252553.50
203.00,398098.43,5251982.00
204.00,398254.87,5251957.00
205.00,398405.53,5251960.00
202.00,398109.12,5251690.00
201.00,398140.34,5251516.00
200.00,398004.34,5251436.00
194.00,398276.96,5251448.50
195.00,398223.84,5251306.00
196.00,398264.50,5251067.50
197.00,398150.96,5251133.50
198.00,398078.03,5251220.00
199.00,397968.50,5251316.00
82.00,383760.65,5238229.50
83.00,383571.90,5238091.00
84.00,383615.96,5237703.50
85.00,382852.43,5232843.00
86.00,382690.56,5232784.00
87.00,382679.50,5232591.00
88.00,382849.18,5232429.50
89.00,383004.81,5232519.50
90.00,383075.65,5232605.50
109.00,381356.81,5225465.50
110.00,381512.84,5225565.50
113.00,381855.09,5226213.50
112.00,381880.87,5225759.00
114.00,381386.03,5226091.00
115.00,381219.43,5226145.50
116.00,380691.21,5225898.00
117.00,380792.40,5225778.50
108.00,381497.09,5225262.50
100.00,382044.03,5226957.00
101.00,381993.68,5227124.00
94.00,380910.84,5226892.50
96.00,381162.00,5227007.50
363.00,427893.25,5279028.50
361.00,427962.78,5278794.50
362.00,428070.65,5278693.50
358.00,428106.56,5279574.50
359.00,427917.50,5279554.00
360.00,427865.65,5279286.00
364.00,427662.53,5279243.00
365.00,427601.78,5279067.00
356.00,426800.15,5279740.00
357.00,426531.93,5279886.50
355.00,427032.87,5279597.00
331.00,414698.65,5265239.00
332.00,414494.71,5265411.50
333.00,414701.00,5265442.50
334.00,414455.09,5266223.50
335.00,414579.43,5266314.50
339.00,414418.84,5266325.00
338.00,414517.62,5266383.50
336.00,414719.37,5266376.50
337.00,414648.96,5266441.00
330.00,415187.00,5265803.50
329.00,415178.28,5265666.00
328.00,415197.90,5265533.00
175.00,416453.50,5264320.50
174.00,416493.09,5264122.50
173.00,416587.78,5263995.50
179.00,415191.34,5263888.00
181.00,415396.68,5263345.50
180.00,415218.50,5263574.00
176.00,416968.50,5263797.50
177.00,416944.18,5263651.00
178.00,416917.37,5263523.50
172.00,416653.03,5264622.50
171.00,416898.12,5264548.00
170.00,416885.87,5264262.00
371.00,422893.90,5240536.50
373.00,422869.21,5240329.50
367.00,422030.18,5241837.50
290.00,421888.34,5241829.00
291.00,421780.00,5241818.50
906.00,435029.93,5209468.50
911.00,437673.56,5209608.50
912.00,437797.28,5209802.00
158.00,418424.59,5267034.00
159.00,418264.87,5266923.50
160.00,418071.50,5266756.00
161.00,418869.25,5265899.50
162.00,418953.06,5265772.50
163.00,419083.09,5265592.00
155.00,418726.18,5267331.50
156.00,418612.81,5267487.50
157.00,418517.37,5267592.50
164.00,419080.90,5267507.00
165.00,418892.12,5267769.00
166.00,419083.93,5267847.00
169.00,418635.90,5268111.00
168.00,418448.53,5268339.50
167.00,418534.37,5268217.50
16.00,453376.71,5277238.00
17.00,453108.43,5277203.50
18.00,452854.93,5277250.50
13.00,453761.28,5278303.50
14.00,453949.00,5278341.50
10.00,443049.68,5269188.00
12.00,443503.21,5269085.50
192.00,381501.75,5222334.50
193.00,381436.43,5222141.00
184.00,382708.84,5222513.50
183.00,382718.59,5222327.50
182.00,382627.09,5222385.50
79.00,382711.78,5220307.00
77.00,382067.53,5220757.00
64.00,385599.46,5215326.00
66.00,385481.18,5215427.00
65.00,385392.46,5215284.50
67.00,384627.84,5214414.00
69.00,384628.75,5214110.50
68.00,384639.34,5214259.50
70.00,384438.18,5214157.50
71.00,384442.81,5214331.50
61.00,384612.56,5216275.00
62.00,384766.09,5216148.00
63.00,384977.84,5216124.50
30.00,375512.12,5219224.50
29.00,375659.31,5219050.50
28.00,375787.09,5218881.50
130.00,375070.43,5218820.00
131.00,374975.40,5218673.50
34.00,374401.75,5218985.00
35.00,374368.46,5218893.00
36.00,374286.68,5218812.50
37.00,374526.18,5219139.50
38.00,374560.06,5219265.00
39.00,374608.25,5219411.00
121.00,397705.34,5207868.50
122.00,397901.71,5207878.50
123.00,398029.46,5207908.00
119.00,397508.00,5208369.00
120.00,397660.34,5208149.00
60.00,383042.93,5207602.50
55.00,383161.53,5207703.00
41.00,379075.21,5208996.00
42.00,379152.06,5208897.50
43.00,379118.59,5208781.00
392.00,416258.68,5221988.00
393.00,416294.15,5221738.00
394.00,416277.53,5221547.50
399.00,416478.87,5221990.00
400.00,416716.15,5221990.00
397.00,416716.68,5221746.00
398.00,416493.09,5221728.00
396.00,416719.15,5221541.00
395.00,416514.46,5221550.50
141.00,427521.59,5209736.00
140.00,427364.65,5209801.50
139.00,427233.90,5209742.50
271.00,443866.00,5261395.50
269.00,444034.71,5261419.00
270.00,443964.06,5261529.00
272.00,444879.62,5262997.50
273.00,444866.59,5263155.00
274.00,444647.65,5263148.00
275.00,444226.06,5263159.50
276.00,443913.84,5263148.00
277.00,443918.71,5263414.00
278.00,443912.09,5263619.00
280.00,444064.15,5263982.00
279.00,443932.43,5263822.50
354.00,423138.87,5270321.00
353.00,423232.53,5270244.00
352.00,423364.75,5270167.00
72.00,384243.65,5214444.50
81.00,382805.43,5220204.00
78.00,382335.28,5220469.50
316.00,397798.84,5257256.00
