"site","year","dist","rdtype","standsz","n7","n6","n5","n4","n3","n2","n1","n0","s7","s6","s5","s4","s3","s2","s1","s0","e7","e6","e5","e4","e3","e2","e1","e0","w7","w6","w5","w4","w3","w2","w1","w0","canopyhht","treeden","shrubden","highcancov","dechigh","subcancov","decsubc","undercov","decund","grcov","treesp1","treesp2","treesp3","treesp4","treesp5","shrubsp1","shrubsp2","shrubsp3","shrubsp4","shrubsp5","special1","special2","special3","topogr","date","obs"
570,2003,,,,0.00,0.00,40.00,40.00,40.00,60.00,80.00,,0.00,0.00,0.00,10.00,40.00,50.00,100.00,,0.00,0.00,0.00,0.00,10.00,10.00,60.00,,0.00,0.00,20.00,10.00,0.00,0.00,40.00,,13.00,2.00,2.00,30.00,70.00,20.00,100.00,30.00,100.00,100.00,316.00,94.00,129.00,375.00,,746.00,22.00,319.00,,,9.00,,,,,
842,2003,,2.00,,0.00,0.00,0.00,20.00,80.00,90.00,100.00,,0.00,0.00,20.00,40.00,80.00,80.00,80.00,,0.00,0.00,10.00,40.00,60.00,70.00,90.00,,0.00,0.00,20.00,20.00,30.00,40.00,50.00,,11.00,3.00,4.00,60.00,30.00,50.00,30.00,70.00,90.00,90.00,375.00,95.00,12.00,746.00,,22.00,352.00,763.00,920.00,,,,,,,
843,2003,,2.00,,0.00,0.00,70.00,60.00,50.00,70.00,100.00,,0.00,0.00,20.00,20.00,80.00,80.00,100.00,,0.00,0.00,0.00,70.00,60.00,50.00,60.00,,0.00,0.00,10.00,60.00,70.00,70.00,60.00,,11.00,2.00,4.00,5.00,80.00,40.00,50.00,80.00,70.00,80.00,746.00,375.00,95.00,12.00,,22.00,6.00,746.00,920.00,,,,,,,
844,2003,,2.00,,0.00,0.00,0.00,0.00,0.00,50.00,80.00,,0.00,0.00,0.00,20.00,40.00,30.00,70.00,,0.00,0.00,0.00,0.00,0.00,70.00,80.00,,0.00,0.00,0.00,10.00,10.00,40.00,70.00,,8.00,1.00,4.00,5.00,50.00,10.00,100.00,80.00,100.00,80.00,375.00,94.00,95.00,12.00,,746.00,22.00,6.00,920.00,,,,,,,
1534,2003,,,,0.00,0.00,10.00,40.00,80.00,80.00,100.00,,0.00,0.00,10.00,20.00,20.00,70.00,100.00,,0.00,0.00,10.00,10.00,20.00,40.00,50.00,,0.00,0.00,40.00,50.00,70.00,70.00,90.00,,15.00,4.00,5.00,80.00,0.00,20.00,0.00,80.00,100.00,90.00,125.00,94.00,95.00,,,22.00,375.00,763.00,316.00,,,,,,,
1533,2003,,,,0.00,0.00,10.00,10.00,20.00,20.00,70.00,,0.00,0.00,10.00,50.00,90.00,90.00,100.00,,0.00,0.00,0.00,0.00,0.00,20.00,40.00,,0.00,0.00,40.00,40.00,40.00,50.00,50.00,,16.00,3.00,3.00,60.00,0.00,20.00,100.00,50.00,100.00,60.00,125.00,95.00,94.00,,,22.00,763.00,316.00,375.00,,,,,,,
1532,2003,,,,0.00,0.00,20.00,20.00,40.00,70.00,90.00,,0.00,0.00,0.00,0.00,10.00,10.00,40.00,,0.00,0.00,10.00,20.00,30.00,40.00,80.00,,0.00,0.00,10.00,10.00,20.00,50.00,50.00,,15.00,3.00,3.00,60.00,0.00,10.00,0.00,70.00,1000.00,80.00,125.00,94.00,,,,22.00,763.00,316.00,,,,,,,,
1549,2003,,,,0.00,0.00,30.00,60.00,80.00,100.00,100.00,,0.00,0.00,10.00,30.00,80.00,90.00,90.00,,0.00,0.00,30.00,30.00,90.00,90.00,100.00,,0.00,0.00,50.00,50.00,60.00,70.00,80.00,,15.00,2.00,5.00,30.00,80.00,30.00,10.00,90.00,50.00,100.00,316.00,375.00,746.00,94.00,,746.00,22.00,12.00,316.00,,,,,,,
784,2003,,,,0.00,0.00,30.00,80.00,90.00,90.00,100.00,,0.00,0.00,0.00,40.00,100.00,100.00,100.00,,0.00,0.00,70.00,60.00,30.00,10.00,100.00,,0.00,0.00,60.00,60.00,80.00,60.00,80.00,,17.00,3.00,5.00,60.00,40.00,30.00,20.00,80.00,70.00,100.00,129.00,375.00,746.00,94.00,12.00,22.00,746.00,12.00,319.00,,,,,,,
783,2003,,,,0.00,0.00,40.00,20.00,20.00,90.00,100.00,,0.00,0.00,20.00,30.00,30.00,30.00,90.00,,0.00,0.00,50.00,50.00,30.00,80.00,100.00,,0.00,0.00,30.00,60.00,60.00,80.00,100.00,,16.00,4.00,5.00,80.00,90.00,30.00,20.00,90.00,70.00,100.00,746.00,375.00,129.00,12.00,,746.00,22.00,12.00,319.00,,,,,,,
782,2003,,,,0.00,0.00,30.00,20.00,20.00,30.00,100.00,,0.00,0.00,30.00,30.00,80.00,100.00,100.00,,0.00,0.00,10.00,20.00,60.00,90.00,100.00,,0.00,0.00,40.00,30.00,30.00,90.00,100.00,,16.00,4.00,4.00,70.00,60.00,40.00,80.00,80.00,30.00,100.00,746.00,375.00,129.00,94.00,12.00,746.00,22.00,12.00,,,,,,,,
573,2003,,,,0.00,0.00,0.00,0.00,50.00,90.00,100.00,,0.00,0.00,10.00,10.00,10.00,0.00,30.00,,0.00,0.00,0.00,0.00,0.00,0.00,40.00,,0.00,0.00,0.00,20.00,20.00,0.00,20.00,,15.00,1.00,2.00,10.00,0.00,0.00,0.00,30.00,100.00,100.00,125.00,375.00,,,,746.00,22.00,,,,10.00,,,,,
574,2003,,,,0.00,0.00,0.00,0.00,0.00,0.00,40.00,,0.00,0.00,0.00,0.00,0.00,0.00,40.00,,0.00,0.00,0.00,0.00,0.00,0.00,30.00,,0.00,0.00,0.00,50.00,80.00,80.00,100.00,,19.00,1.00,1.00,10.00,0.00,10.00,60.00,10.00,100.00,80.00,129.00,375.00,95.00,,,22.00,746.00,316.00,,,10.00,,,,,
568,2003,,,,0.00,0.00,0.00,0.00,0.00,0.00,70.00,,0.00,0.00,0.00,0.00,0.00,10.00,60.00,,0.00,0.00,50.00,50.00,70.00,70.00,80.00,,0.00,0.00,0.00,0.00,10.00,30.00,80.00,,15.00,1.00,2.00,20.00,40.00,10.00,60.00,40.00,80.00,100.00,94.00,746.00,316.00,,,746.00,22.00,,,,10.00,,,,,
572,2003,,,,0.00,0.00,0.00,10.00,60.00,80.00,100.00,,0.00,0.00,0.00,0.00,0.00,10.00,50.00,,0.00,0.00,10.00,20.00,20.00,70.00,100.00,,0.00,0.00,0.00,0.00,10.00,40.00,70.00,,20.00,1.00,2.00,20.00,0.00,10.00,100.00,30.00,100.00,90.00,125.00,129.00,316.00,375.00,,319.00,746.00,22.00,,,10.00,,,,,
571,2003,,,,0.00,0.00,0.00,0.00,10.00,10.00,30.00,,0.00,0.00,0.00,0.00,10.00,80.00,80.00,,0.00,0.00,0.00,0.00,10.00,90.00,90.00,,0.00,0.00,0.00,10.00,10.00,50.00,70.00,,14.00,1.00,3.00,10.00,80.00,10.00,100.00,40.00,100.00,100.00,316.00,375.00,125.00,,,746.00,22.00,316.00,34.00,,9.00,,,,,
820,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.00,80.00,90.00,60.00,90.00,70.00,,,,,,,,,,,,,,,,,
816,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00,90.00,40.00,20.00,70.00,90.00,,,,,,,,,,,,,,,,,
813,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.00,80.00,40.00,40.00,50.00,80.00,,,,,,,,,,,,,,,,,
626,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,100.00,10.00,100.00,60.00,90.00,,,,,,,,,,,,,,,,,
627,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,100.00,80.00,100.00,80.00,90.00,,,,,,,,,,,,,,,,,
630,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00,20.00,20.00,100.00,30.00,80.00,,,,,,,,,,,,,,,,,
631,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,90.00,10.00,,,,,,,,,,,,,,,,,
632,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,50.00,90.00,,,,,,,,,,,,,,,,,
713,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,80.00,100.00,90.00,100.00,,,,,,,,,,,,,,,,,
527,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,100.00,,,,,,,,,,,,,,,,,,,
847,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.00,100.00,40.00,50.00,60.00,90.00,,,,,,,,,,,,,,,,,
606,2004,,,,0.00,0.00,0.00,0.00,10.00,80.00,100.00,,0.00,0.00,0.00,0.00,0.00,30.00,70.00,,0.00,0.00,0.00,0.00,90.00,100.00,100.00,,0.00,0.00,10.00,60.00,80.00,100.00,100.00,,11.00,2.00,5.00,30.00,100.00,20.00,20.00,80.00,90.00,80.00,544.00,12.00,375.00,316.00,,22.00,375.00,746.00,316.00,12.00,9.00,4.00,,,,
114,2004,,1.00,,0.00,0.00,0.00,10.00,100.00,90.00,100.00,,0.00,0.00,0.00,0.00,90.00,100.00,100.00,,0.00,0.00,0.00,30.00,80.00,100.00,100.00,,0.00,0.00,0.00,0.00,0.00,40.00,100.00,,19.00,5.00,4.00,30.00,60.00,90.00,100.00,80.00,100.00,100.00,746.00,129.00,833.00,375.00,316.00,22.00,497.00,316.00,763.00,833.00,,,,,,
605,2004,,,,0.00,0.00,0.00,0.00,0.00,20.00,100.00,,0.00,0.00,10.00,10.00,80.00,100.00,100.00,,0.00,0.00,0.00,70.00,90.00,100.00,100.00,,0.00,0.00,0.00,30.00,20.00,20.00,100.00,,10.00,1.00,90.00,10.00,0.00,20.00,80.00,90.00,90.00,90.00,94.00,95.00,746.00,316.00,544.00,22.00,746.00,763.00,12.00,125.00,9.00,4.00,,,,
757,2004,,,,0.00,0.00,0.00,0.00,0.00,10.00,80.00,,0.00,0.00,0.00,0.00,0.00,20.00,100.00,,0.00,0.00,10.00,20.00,30.00,50.00,100.00,,0.00,0.00,0.00,0.00,0.00,10.00,100.00,,12.00,2.00,4.00,40.00,90.00,30.00,90.00,70.00,70.00,80.00,375.00,129.00,94.00,316.00,,12.00,94.00,316.00,920.00,743.00,9.00,,,,,
713,2004,,1.00,,0.00,0.00,0.00,0.00,30.00,100.00,100.00,,0.00,0.00,0.00,0.00,60.00,100.00,100.00,,0.00,0.00,0.00,0.00,90.00,100.00,100.00,,0.00,0.00,0.00,20.00,100.00,100.00,100.00,,7.00,3.00,5.00,60.00,100.00,70.00,90.00,90.00,90.00,90.00,746.00,375.00,12.00,94.00,,22.00,746.00,375.00,316.00,352.00,8.00,7.00,,,,
1550,2003,,,,0.00,0.00,20.00,30.00,50.00,80.00,100.00,,0.00,0.00,0.00,10.00,40.00,80.00,100.00,,0.00,0.00,0.00,0.00,10.00,70.00,100.00,,0.00,0.00,10.00,20.00,20.00,90.00,100.00,,12.00,1.00,4.00,10.00,90.00,20.00,100.00,80.00,100.00,100.00,316.00,375.00,94.00,,,746.00,316.00,763.00,,,,,,,,
