"site","canopy_hght","fhd7","fhd6","fhd5","fhd4","fhd3","fhd2","fhd1","fhd0","highcancov","dechigh","subcancov","decsubc","undercov","decund","grcov","treeden","shrubden"
37.00,14.66,0.00,12.50,65.00,65.00,67.50,72.50,72.50,82.50,70.00,100.00,10.00,100.00,60.00,100.00,70.00,3.00,3.33
38.00,14.00,0.00,7.50,62.50,67.50,67.50,57.50,80.00,95.00,60.00,20.00,10.00,0.00,20.00,100.00,80.00,3.66,2.00
39.00,11.00,0.00,0.00,67.50,77.50,70.00,62.50,67.50,90.00,60.00,30.00,10.00,10.00,20.00,100.00,90.00,3.33,2.33
40.00,16.75,0.00,10.00,57.50,60.00,62.50,80.00,87.50,85.00,70.00,100.00,40.00,100.00,80.00,100.00,100.00,3.25,4.00
41.00,12.00,0.00,2.50,5.00,7.50,25.00,72.50,100.00,100.00,10.00,30.00,0.00,,60.00,30.00,100.00,1.50,4.00
42.00,4.25,,,,,,,,,,,,,,,,,
43.00,13.50,0.00,0.00,10.00,15.00,32.50,72.50,90.00,100.00,30.00,50.00,0.00,,50.00,60.00,100.00,1.50,2.75
44.00,16.50,0.00,12.50,70.00,60.00,65.00,67.50,70.00,57.50,90.00,100.00,30.00,100.00,80.00,100.00,60.00,3.25,3.75
45.00,18.25,0.00,10.00,65.00,67.50,65.00,67.50,87.50,75.00,70.00,100.00,20.00,100.00,70.00,100.00,90.00,3.50,4.00
46.00,12.75,0.00,0.00,7.50,7.50,90.00,85.00,97.50,80.00,0.00,,0.00,,100.00,100.00,90.00,1.00,5.00
47.00,10.50,0.00,0.00,2.50,15.00,20.00,75.00,100.00,95.00,20.00,90.00,0.00,,100.00,100.00,90.00,1.75,5.00
48.00,12.50,0.00,0.00,0.00,2.50,12.50,80.00,100.00,95.00,10.00,100.00,0.00,,100.00,100.00,90.00,1.00,4.75
49.00,18.25,0.00,10.00,55.00,70.00,77.50,77.50,67.50,90.00,70.00,90.00,40.00,30.00,50.00,100.00,100.00,3.00,3.25
50.00,18.50,0.00,10.00,65.00,75.00,77.50,85.00,82.50,90.00,60.00,100.00,30.00,100.00,60.00,100.00,90.00,3.00,4.00
51.00,18.25,0.00,10.00,50.00,72.50,85.00,87.50,82.50,90.00,50.00,100.00,70.00,100.00,60.00,100.00,40.00,3.00,3.00
52.00,19.25,0.00,7.50,42.50,62.50,65.00,90.00,90.00,90.00,30.00,100.00,30.00,100.00,70.00,100.00,100.00,2.75,3.75
53.00,18.50,0.00,10.00,62.50,75.00,87.50,75.00,75.00,90.00,70.00,100.00,30.00,100.00,60.00,100.00,80.00,3.00,3.25
54.00,17.25,0.00,10.00,50.00,67.50,82.50,87.50,70.00,87.50,10.00,0.00,70.00,60.00,80.00,100.00,90.00,3.00,3.75
55.00,14.50,0.00,7.50,35.00,62.50,70.00,82.50,85.00,90.00,60.00,90.00,20.00,100.00,70.00,100.00,90.00,3.00,3.50
56.00,16.50,0.00,10.00,45.00,72.50,80.00,75.00,55.00,75.00,50.00,100.00,30.00,100.00,50.00,100.00,70.00,3.00,3.50
57.00,15.75,0.00,7.50,45.00,67.50,80.00,85.00,87.50,87.50,40.00,100.00,30.00,100.00,70.00,100.00,80.00,3.00,3.75
58.00,16.00,0.00,10.00,47.50,72.50,80.00,,82.50,90.00,40.00,100.00,50.00,100.00,60.00,100.00,100.00,3.00,3.25
59.00,16.00,0.00,10.00,57.50,72.50,82.50,82.50,72.50,52.50,70.00,100.00,10.00,100.00,50.00,100.00,40.00,3.00,3.25
60.00,14.25,0.00,10.00,60.00,65.00,77.50,82.50,90.00,90.00,60.00,100.00,10.00,100.00,70.00,100.00,100.00,3.00,3.75
61.00,21.25,0.00,10.00,42.50,42.50,55.00,70.00,65.00,87.50,30.00,100.00,40.00,100.00,50.00,100.00,90.00,3.00,3.25
62.00,20.50,0.00,10.00,37.50,40.00,57.50,72.50,100.00,95.00,20.00,100.00,10.00,100.00,80.00,100.00,100.00,2.00,3.75
63.00,18.50,0.00,2.50,17.50,22.50,40.00,82.50,92.50,95.00,20.00,100.00,40.00,100.00,70.00,100.00,100.00,2.25,3.75
64.00,23.50,0.00,10.00,65.00,62.50,62.50,62.50,72.50,70.00,60.00,100.00,30.00,100.00,60.00,100.00,90.00,3.00,2.25
65.00,23.00,0.00,10.00,70.00,77.50,70.00,65.00,67.50,67.50,80.00,100.00,30.00,100.00,30.00,100.00,50.00,3.00,2.50
66.00,21.75,0.00,10.00,65.00,67.50,70.00,67.50,65.00,52.50,60.00,100.00,10.00,100.00,70.00,100.00,30.00,3.25,2.75
67.00,22.75,0.00,40.00,70.00,70.00,70.00,77.50,75.00,60.00,80.00,100.00,20.00,100.00,80.00,100.00,60.00,3.00,3.75
