"site","year","type","abund_code","species_code","name"
140,1993,"tree",1,95.00,"Black Spruce"
140,1994,"tree",1,95.00,"Black Spruce"
141,1991,"tree",1,95.00,"Black Spruce"
141,1992,"tree",1,95.00,"Black Spruce"
141,1993,"tree",1,95.00,"Black Spruce"
141,1994,"tree",1,95.00,"Black Spruce"
143,1991,"tree",1,746.00,"Quaking Aspen"
143,1992,"tree",1,746.00,"Quaking Aspen"
143,1994,"tree",1,833.00,"Northern Red Oak"
144,1991,"tree",1,833.00,"Northern Red Oak"
144,1992,"tree",1,833.00,"Northern Red Oak"
144,1994,"tree",1,833.00,"Northern Red Oak"
145,1991,"tree",1,746.00,"Quaking Aspen"
145,1994,"tree",1,746.00,"Quaking Aspen"
146,1991,"tree",1,746.00,"Quaking Aspen"
146,1992,"tree",1,833.00,"Northern Red Oak"
146,1994,"tree",1,746.00,"Quaking Aspen"
147,1991,"tree",1,746.00,"Quaking Aspen"
147,1992,"tree",1,833.00,"Northern Red Oak"
147,1994,"tree",1,746.00,"Quaking Aspen"
148,1991,"tree",1,833.00,"Northern Red Oak"
148,1992,"tree",1,833.00,"Northern Red Oak"
148,1994,"tree",1,746.00,"Quaking Aspen"
149,1991,"tree",1,71.00,"Tamarack"
149,1992,"tree",1,95.00,"Black Spruce"
149,1994,"tree",1,71.00,"Tamarack"
150,1991,"tree",1,95.00,"Black Spruce"
150,1992,"tree",1,95.00,"Black Spruce"
150,1994,"tree",1,71.00,"Tamarack"
151,1991,"tree",1,95.00,"Black Spruce"
151,1992,"tree",1,95.00,"Black Spruce"
151,1994,"tree",1,71.00,"Tamarack"
152,1991,"tree",1,746.00,"Quaking Aspen"
152,1992,"tree",1,970.00,"Elm"
152,1994,"tree",1,746.00,"Quaking Aspen"
153,1991,"tree",1,746.00,"Quaking Aspen"
153,1992,"tree",1,94.00,"White Spruce"
153,1994,"tree",1,746.00,"Quaking Aspen"
154,1991,"tree",1,746.00,"Quaking Aspen"
154,1992,"tree",1,746.00,"Quaking Aspen"
154,1994,"tree",1,746.00,"Quaking Aspen"
155,1991,"tree",1,125.00,"Red Pine"
155,1992,"tree",1,125.00,"Red Pine"
155,1993,"tree",1,125.00,"Red Pine"
155,1994,"tree",1,125.00,"Red Pine"
156,1991,"tree",1,125.00,"Red Pine"
156,1992,"tree",1,125.00,"Red Pine"
156,1993,"tree",1,125.00,"Red Pine"
156,1994,"tree",1,125.00,"Red Pine"
157,1991,"tree",1,125.00,"Red Pine"
157,1992,"tree",1,125.00,"Red Pine"
157,1993,"tree",1,125.00,"Red Pine"
157,1994,"tree",1,125.00,"Red Pine"
158,1991,"tree",1,125.00,"Red Pine"
158,1992,"tree",1,125.00,"Red Pine"
158,1993,"tree",1,125.00,"Red Pine"
158,1994,"tree",1,125.00,"Red Pine"
159,1991,"tree",1,125.00,"Red Pine"
159,1992,"tree",1,125.00,"Red Pine"
159,1993,"tree",1,125.00,"Red Pine"
159,1994,"tree",1,125.00,"Red Pine"
160,1991,"tree",1,125.00,"Red Pine"
160,1992,"tree",1,125.00,"Red Pine"
160,1993,"tree",1,125.00,"Red Pine"
160,1994,"tree",1,125.00,"Red Pine"
161,1991,"tree",1,125.00,"Red Pine"
161,1992,"tree",1,125.00,"Red Pine"
161,1993,"tree",1,125.00,"Red Pine"
161,1994,"tree",1,125.00,"Red Pine"
162,1991,"tree",1,125.00,"Red Pine"
162,1992,"tree",1,125.00,"Red Pine"
162,1993,"tree",1,125.00,"Red Pine"
162,1994,"tree",1,125.00,"Red Pine"
163,1991,"tree",1,125.00,"Red Pine"
163,1992,"tree",1,823.00,"Burr Oak"
163,1993,"tree",1,125.00,"Red Pine"
163,1994,"tree",1,125.00,"Red Pine"
164,1991,"tree",1,125.00,"Red Pine"
164,1992,"tree",1,125.00,"Red Pine"
164,1993,"tree",1,125.00,"Red Pine"
164,1994,"tree",1,125.00,"Red Pine"
165,1991,"tree",1,125.00,"Red Pine"
165,1992,"tree",1,125.00,"Red Pine"
165,1993,"tree",1,125.00,"Red Pine"
165,1994,"tree",1,125.00,"Red Pine"
166,1991,"tree",1,125.00,"Red Pine"
166,1992,"tree",1,125.00,"Red Pine"
166,1993,"tree",1,125.00,"Red Pine"
166,1994,"tree",1,125.00,"Red Pine"
167,1991,"tree",1,125.00,"Red Pine"
167,1992,"tree",1,125.00,"Red Pine"
167,1993,"tree",1,125.00,"Red Pine"
167,1994,"tree",1,125.00,"Red Pine"
168,1991,"tree",1,125.00,"Red Pine"
