"forest","month","year","tempdev","precipdev"
9090.00,"Jan",1998.00,8.60,-0.27
9090.00,"Feb",1998.00,15.90,1.22
9090.00,"Mar",1998.00,0.90,0.07
9090.00,"Apr",1998.00,3.60,-0.82
9090.00,"May",1998.00,4.10,-0.03
9090.00,"Jun",1998.00,-0.90,0.34
9090.00,"Jan",1999.00,0.00,-0.18
9090.00,"Feb",1999.00,8.10,0.08
9090.00,"Mar",1999.00,2.00,-0.07
9090.00,"Apr",1999.00,1.90,0.36
9090.00,"May",1999.00,1.90,1.10
9090.00,"Jun",1999.00,0.50,-0.11
9099.00,"Jan",1995.00,4.50,-0.46
9099.00,"Feb",1995.00,2.00,-0.67
9099.00,"Mar",1995.00,3.60,1.09
9099.00,"Apr",1995.00,-4.20,0.20
9099.00,"May",1995.00,-1.90,-0.10
9099.00,"Jun",1995.00,3.30,-1.34
9099.00,"Jan",1996.00,-2.40,1.56
9099.00,"Feb",1996.00,-0.60,-0.71
9099.00,"Mar",1996.00,-5.30,0.15
9099.00,"Apr",1996.00,-4.00,-1.79
9099.00,"May",1996.00,-3.50,-1.30
9099.00,"Jun",1996.00,0.20,1.58
9099.00,"Jan",1997.00,-1.40,0.43
9099.00,"Feb",1997.00,2.70,-0.12
9099.00,"Mar",1997.00,-0.70,-0.23
9099.00,"Apr",1997.00,-2.30,-1.46
9099.00,"May",1997.00,-5.70,-0.42
9099.00,"Jun",1997.00,1.80,-0.03
9099.00,"Jan",1998.00,7.70,0.61
9099.00,"Feb",1998.00,13.50,0.87
9099.00,"Mar",1998.00,1.10,1.19
9099.00,"Apr",1998.00,4.30,-0.40
9099.00,"May",1998.00,6.40,0.58
9099.00,"Jun",1998.00,-2.30,3.89
9099.00,"Jan",1999.00,-0.20,0.92
9099.00,"Feb",1999.00,10.10,-0.15
9099.00,"Mar",1999.00,2.80,-0.89
9099.00,"Apr",1999.00,2.60,3.93
9099.00,"May",1999.00,2.10,1.51
9099.00,"Jun",1999.00,3.25,-0.75
9020.00,"Jan",1992.00,9.80,-0.10
9020.00,"Feb",1992.00,10.20,-0.20
9020.00,"Mar",1992.00,3.90,-0.20
9020.00,"Apr",1992.00,-2.10,0.20
9020.00,"May",1992.00,2.80,-1.70
9020.00,"Jun",1992.00,-1.90,-0.70
9020.00,"Jan",1993.00,2.20,0.20
9020.00,"Feb",1993.00,0.10,-0.57
9020.00,"Mar",1993.00,-0.80,-1.11
9020.00,"Apr",1993.00,-3.40,0.27
9020.00,"May",1993.00,-1.20,2.00
9020.00,"Jun",1993.00,-3.30,1.54
9020.00,"Jan",1994.00,-9.50,0.11
9020.00,"Feb",1994.00,-6.40,-0.11
9020.00,"Mar",1994.00,2.70,-0.83
9020.00,"Apr",1994.00,-0.90,1.76
9020.00,"May",1994.00,0.90,-1.56
9020.00,"Jun",1994.00,1.80,-0.81
9020.00,"Jan",1995.00,4.90,-0.60
9020.00,"Feb",1995.00,-1.00,-0.24
9020.00,"Mar",1995.00,2.10,0.44
